country_code,id_mep,name,full_term
LUX,0,Charles GOERENS,1
GBR,1,Bill NEWTON DUNN,0
DEU,2,Constanze KREHL,0
PRT,3,Carlos COELHO,0
DEU,4,Bernd LANGE,1
DEU,5,Evelyne GEBHARDT,0
DEU,6,Markus FERBER,1
DEU,7,Peter LIESE,1
ESP,8,José Manuel GARCÍA-MARGALLO Y MARFIL,1
FIN,9,Heidi HAUTALA,1
ITA,10,Antonio TAJANI,0
GBR,11,Richard CORBETT,0
DEU,12,Rainer WIELAND,1
DEU,13,Michael GAHLER,1
AUT,14,Othmar KARAS,1
BEL,15,Frédérique RIES,1
DEU,16,Udo BULLMANN,1
DEU,17,Angelika NIEBLER,1
ESP,18,María Soraya RODRÍGUEZ RAMOS,1
ITA,19,Silvio BERLUSCONI,0
ITA,20,Raffaele FITTO,0
GBR,21,Geoffrey VAN ORDEN,0
GBR,22,Claude MORAES,0
GBR,23,Nigel FARAGE,0
GBR,24,Neena GILL,0
GBR,25,Jill EVANS,0
GBR,26,Chris DAVIES,0
GBR,27,Daniel HANNAN,0
NLD,28,Antonius MANDERS,1
ITA,29,Sergio BERLATO,0
NLD,30,Lara WOLTERS,0
FRA,31,Brice HORTEFEUX,1
BEL,32,Kathleen VAN BREMPT,1
FRA,33,Fabienne KELLER,1
CZE,34,Kateřina KONEČNÁ,1
CZE,35,Jan ZAHRADIL,1
POL,36,Bogusław LIBERADZKI,1
POL,37,Janusz LEWANDOWSKI,1
POL,38,Adam BIELAN,1
HUN,39,András GYÜRK,1
HUN,40,József SZÁJER,0
SVK,41,Monika BEŇOVÁ,1
FRA,42,Emmanuel MAUREL,1
FRA,43,Anne SANDER,1
BEL,44,Pascal ARIMONT,1
ESP,45,Ana MIRANDA,0
CYP,46,Lefteris CHRISTOFOROU,0
HUN,47,Edina TÓTH,1
IRL,48,Mairead McGUINNESS,0
MLT,49,David CASA,1
HUN,50,Lívia JÁRÓKA,1
HUN,51,Kinga GÁL,1
DNK,52,Margrete AUKEN,1
DEU,53,Daniel CASPARY,1
DEU,54,Andreas SCHWAB,1
DEU,55,Markus PIEPER,1
DEU,56,Christian EHLER,1
DEU,57,Manfred WEBER,1
NLD,58,Sophia IN 'T VELD,1
POL,59,Jerzy BUZEK,1
POL,60,Jan OLBRYCHT,1
SVN,61,Ljudmila NOVAK,1
POL,62,Jacek SARYUSZ-WOLSKI,1
ESP,63,Iratxe GARCÍA PÉREZ,1
ITA,64,Patrizia TOIA,1
ITA,65,Mercedes BRESSO,0
ESP,66,Javier MORENO SÁNCHEZ,1
POL,67,Anna FOTYGA,1
POL,68,Ryszard CZARNECKI,1
POL,69,Zbigniew KUŹMIUK,0
ESP,70,Pilar del CASTILLO VERA,1
