group_code,start_date,end_date,id_mep,membership_length
RENEW,2019-07-02,2024-07-15,0,1840
RENEW,2019-07-02,2020-01-31,1,213
SD,2019-07-02,2022-10-02,2,1188
EPP,2023-07-07,2024-07-15,3,374
SD,2019-07-02,2024-07-15,4,1840
SD,2019-07-02,2022-02-01,5,945
EPP,2019-07-02,2024-07-15,6,1840
EPP,2019-07-02,2024-07-15,7,1840
EPP,2019-07-02,2024-07-15,8,1840
GREEN_EFA,2019-07-02,2024-07-15,9,1840
EPP,2019-07-02,2022-10-12,10,1198
SD,2019-07-02,2020-01-31,11,213
EPP,2019-07-02,2024-07-15,12,1840
EPP,2019-07-02,2024-07-15,13,1840
EPP,2019-07-02,2024-07-15,14,1840
RENEW,2019-07-02,2024-07-15,15,1840
SD,2019-07-02,2024-07-15,16,1840
EPP,2019-07-02,2024-07-15,17,1840
RENEW,2019-07-02,2024-07-15,18,1840
EPP,2019-07-02,2022-10-12,19,1198
ECR,2019-07-02,2022-10-12,20,1198
ECR,2019-07-02,2020-01-31,21,213
SD,2019-07-02,2020-01-31,22,213
NI,2019-07-02,2020-01-31,23,213
SD,2019-07-02,2020-01-31,24,213
GREEN_EFA,2019-07-02,2020-01-31,25,213
RENEW,2019-07-02,2020-01-31,26,213
ECR,2019-07-02,2020-01-31,27,213
EPP,2019-07-02,2024-07-15,28,1840
ECR,2020-02-01,2024-07-15,29,1626
SD,2019-07-04,2024-07-15,30,1838
EPP,2019-07-02,2024-07-15,31,1840
SD,2019-07-02,2024-07-15,32,1840
RENEW,2019-07-02,2024-07-15,33,1840
GUE_NGL,2019-07-02,2024-07-15,34,1840
ECR,2019-07-02,2024-07-15,35,1840
SD,2019-07-02,2024-07-15,36,1840
EPP,2019-07-02,2024-07-15,37,1840
ECR,2019-07-02,2024-07-15,38,1840
NI,2021-03-05,2024-07-15,39,1228
EPP,2019-07-02,2021-01-01,40,549
SD,2019-07-02,2023-10-17,41,1568
GUE_NGL,2019-07-02,2024-07-15,42,1840
EPP,2019-07-02,2024-07-15,43,1840
EPP,2019-07-02,2024-07-15,44,1840
GREEN_EFA,2022-09-05,2024-07-15,45,679
EPP,2019-07-02,2022-11-01,46,1218
NI,2021-03-05,2024-07-15,47,1228
EPP,2019-07-02,2020-10-11,48,467
EPP,2019-07-02,2024-07-15,49,1840
NI,2021-03-05,2024-07-15,50,1228
NI,2021-03-05,2024-07-15,51,1228
GREEN_EFA,2019-07-02,2024-07-15,52,1840
EPP,2019-07-02,2024-07-15,53,1840
EPP,2019-07-02,2024-07-15,54,1840
EPP,2019-07-02,2024-07-15,55,1840
EPP,2019-07-02,2024-07-15,56,1840
EPP,2019-07-02,2024-07-15,57,1840
RENEW,2019-07-02,2024-07-15,58,1840
EPP,2019-07-02,2024-07-15,59,1840
EPP,2019-07-02,2024-07-15,60,1840
EPP,2019-07-02,2024-07-15,61,1840
ECR,2019-07-02,2024-07-15,62,1840
SD,2019-07-02,2024-07-15,63,1840
SD,2019-07-02,2024-07-15,64,1840
SD,2023-04-06,2024-07-15,65,466
SD,2019-07-02,2024-07-15,66,1840
ECR,2019-07-02,2024-07-15,67,1840
ECR,2019-07-02,2024-07-15,68,1840
ECR,2019-07-02,2023-10-18,69,1569
EPP,2019-07-02,2024-07-15,70,1840
EPP,2019-07-02,2024-07-15,71,1840
EPP,2019-07-02,2024-07-15,72,1840
EPP,2022-11-02,2024-07-15,73,621
GREEN_EFA,2019-07-02,2019-12-12,74,163
GUE_NGL,2019-07-02,2024-07-15,75,1840
ECR,2019-07-02,2024-07-15,76,1840
EPP,2019-07-02,2024-07-15,77,1840
GREEN_EFA,2019-07-02,2022-03-31,78,1003
SD,2019-07-02,2023-01-18,79,1296
GUE_NGL,2019-07-02,2024-07-15,80,1840
GREEN_EFA,2019-07-02,2020-01-31,81,213
EPP,2019-07-02,2024-07-15,82,1840
SD,2019-07-02,2024-07-15,83,1840
SD,2019-07-02,2024-07-15,84,1840
ID,2019-07-02,2024-07-15,85,1840
EPP,2019-07-02,2024-01-28,86,1671
SD,2019-07-02,2021-03-30,87,637
SD,2019-07-02,2024-07-15,88,1840
EPP,2019-07-02,2019-11-30,89,151
EPP,2019-07-02,2024-02-15,90,1689
EPP,2019-07-02,2024-07-15,91,1840
ID,2019-07-02,2024-07-15,92,1840
