timestamp,procedure_reference,id_bill,text,subjects
2020-06-17 23:24:52,2007/0181(NLE),200,ecmorocco euro-mediterranean aviation agreement protocol follow accession bulgaria romania,"['3.20.15.02 Air transport agreements and cooperation', '6.40.05.02 Relations with the countries of the Great Maghreb and Maghreb']"
2021-12-14 14:49:19,2010/0112(NLE),786,recommendation draft council decision conclusion behalf european union protocol amend air transport agreement united states america european community member states,['3.20.15.02 Air transport agreements and cooperation']
2020-06-17 23:24:52,2010/0180(NLE),201,eujordan agreement euro-mediterranean aviation agreement,['3.20.15.02 Air transport agreements and cooperation']
2020-06-17 23:24:52,2010/0186(NLE),203,eugeorgia agreement common aviation area,['3.20.15.02 Air transport agreements and cooperation']
2020-06-17 23:24:52,2012/0006(NLE),198,eumoldova common aviation area agreement,['3.20.15.02 Air transport agreements and cooperation']
2021-12-14 14:49:19,2012/0060(COD),789,regulation european parliament council access third-country economic operator good service unions procurement market procedure support negotiation access union economic operators good service procurement market country,"['2.10.02 Public procurement', '5.03 Global economy and globalisation', '6.20.01 Agreements and relations in the context of the World Trade Organization (WTO)', '6.20.02 Export/import control, trade defence, trade barriers', '6.20.03 Bilateral economic and trade agreements and relations', '6.20.04 Union Customs Code, tariffs, preferential arrangements, rules of origin', '6.30.01 Generalised scheme of tariff preferences (GSP), rules of origin']"
2020-06-17 23:24:52,2012/0324(NLE),204,euisrael euro-mediterranean aviation agreement,['3.20.15.02 Air transport agreements and cooperation']
2023-06-01 11:51:27,2013/0425(NLE),1375,recommendation draft council decision conclusion arrangement european union republic iceland modalities participation european asylum support office,"['6.40.01 Relations with EEA/EFTA countries', '7.10.06 Asylum, refugees, displaced persons; Asylum, Migration and Integration Fund (AMIF)', '8.40.08 Agencies and bodies of the EU']"
2024-01-17 12:19:18,2014/0220(NLE),1616,recommendation draft council decision conclusion behalf union member states accession protocol framework agreement comprehensive partnership cooperation european community member states republic indonesia account accession republic croatia european union,"['6.20.03 Bilateral economic and trade agreements and relations', '6.40.08 Relations with Asian countries']"
2020-06-17 23:24:52,2015/0035(NLE),199,eumoldova common aviation area agreement accession croatia eu protocol,['3.20.15.02 Air transport agreements and cooperation']
2023-05-10 13:17:16,2016/0062A(NLE),1362,council europe convention prevent combat violence woman domestic violence,"['4.10.09 Women condition and rights', '7.30.30.02 Action to combat violence, trafficking in human beings and migrant smuggling']"
2023-05-10 13:18:13,2016/0062B(NLE),1363,recommendation draft council decision conclusion behalf european union council europe convention prevent combat violence woman domestic violence regard matter relate judicial cooperation criminal matter asylum non-refoulement,"['4.10.09 Women condition and rights', '7.10.06 Asylum, refugees, displaced persons; Asylum, Migration and Integration Fund (AMIF)', '7.10.08 Migration policy', '7.30.30.02 Action to combat violence, trafficking in human beings and migrant smuggling', '7.40.04 Judicial cooperation in criminal matters']"
2023-02-15 15:21:21,2016/0062R(NLE),1224,council europe convention prevent combat violence woman domestic violence eu accession,"['4.10.09 Women condition and rights', '7.30.30.02 Action to combat violence, trafficking in human beings and migrant smuggling']"
2021-11-11 11:10:22,2016/0131(COD),757,report proposal regulation european parliament council european union agency asylum repeal regulation eu 4392010,"['7.10.06 Asylum, refugees, displaced persons; Asylum, Migration and Integration Fund (AMIF)', '8.40.08 Agencies and bodies of the EU']"
