"from","to","weight"
"Charles GOERENS (LUX-RENEW)","Sophia IN 'T VELD (NLD-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Andrus ANSIP (EST-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Petras AUŠTREVIČIUS (LTU-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Clara AGUILERA (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Hilde VAUTMANS (BEL-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Monica SEMEDO (LUX-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Marie-Pierre VEDRENNE (FRA-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Ivars IJABS (LVA-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Claudia GAMON (AUT-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Vlad-Marius BOTOŞ (ROU-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Lídia PEREIRA (PRT-EPP)",1
"Charles GOERENS (LUX-RENEW)","Billy KELLEHER (IRL-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Barry ANDREWS (IRL-RENEW)",1
"Bernd LANGE (DEU-SD)","Demetris PAPADAKIS (CYP-SD)",1
"Bernd LANGE (DEU-SD)","Maria NOICHL (DEU-SD)",1
"Bernd LANGE (DEU-SD)","Alexandra GEESE (DEU-GREEN_EFA)",1
"Bernd LANGE (DEU-SD)","Giuliano PISAPIA (ITA-SD)",1
"Bernd LANGE (DEU-SD)","Mihai TUDOSE (ROU-SD)",1
"Markus FERBER (DEU-EPP)","Peter LIESE (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","José Manuel GARCÍA-MARGALLO Y MARFIL (ESP-EPP)",1
"Markus FERBER (DEU-EPP)","Rainer WIELAND (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Michael GAHLER (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Othmar KARAS (AUT-EPP)",1
"Markus FERBER (DEU-EPP)","Angelika NIEBLER (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Antonius MANDERS (NLD-EPP)",1
"Markus FERBER (DEU-EPP)","Janusz LEWANDOWSKI (POL-EPP)",1
"Markus FERBER (DEU-EPP)","David CASA (MLT-EPP)",1
"Markus FERBER (DEU-EPP)","Daniel CASPARY (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Andreas SCHWAB (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Markus PIEPER (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Christian EHLER (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Manfred WEBER (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Jerzy BUZEK (POL-EPP)",1
"Markus FERBER (DEU-EPP)","Jan OLBRYCHT (POL-EPP)",1
"Markus FERBER (DEU-EPP)","Ljudmila NOVAK (SVN-EPP)",1
"Markus FERBER (DEU-EPP)","Pilar del CASTILLO VERA (ESP-EPP)",1
"Markus FERBER (DEU-EPP)","Antonio LÓPEZ-ISTÚRIZ WHITE (ESP-EPP)",1
"Markus FERBER (DEU-EPP)","Francisco José MILLÁN MON (ESP-EPP)",1
"Markus FERBER (DEU-EPP)","Inese VAIDERE (LVA-EPP)",1
"Markus FERBER (DEU-EPP)","Marian-Jean MARINESCU (ROU-EPP)",1
"Markus FERBER (DEU-EPP)","Cristian-Silviu BUŞOI (ROU-EPP)",1
"Markus FERBER (DEU-EPP)","Iuliu WINKLER (ROU-EPP)",1
"Markus FERBER (DEU-EPP)","Jeroen LENAERS (NLD-EPP)",1
"Markus FERBER (DEU-EPP)","Seán KELLY (IRL-EPP)",1
"Markus FERBER (DEU-EPP)","Sabine VERHEYEN (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Axel VOSS (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Jarosław KALINOWSKI (POL-EPP)",1
"Markus FERBER (DEU-EPP)","Peter JAHR (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Danuta Maria HÜBNER (POL-EPP)",1
"Markus FERBER (DEU-EPP)","Monika HOHLMEIER (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Herbert DORFMANN (ITA-EPP)",1
"Markus FERBER (DEU-EPP)","Elżbieta Katarzyna ŁUKACIJEWSKA (POL-EPP)",1
"Markus FERBER (DEU-EPP)","Pablo ARIAS ECHEVERRÍA (ESP-EPP)",1
"Markus FERBER (DEU-EPP)","Rosa ESTARÀS FERRAGUT (ESP-EPP)",1
"Markus FERBER (DEU-EPP)","Milan ZVER (SVN-EPP)",1
"Markus FERBER (DEU-EPP)","Sandra KALNIETE (LVA-EPP)",1
"Markus FERBER (DEU-EPP)","Gabriel MATO (ESP-EPP)",1
"Markus FERBER (DEU-EPP)","Andrey KOVATCHEV (BGR-EPP)",1
"Markus FERBER (DEU-EPP)","Eva MAYDELL (BGR-EPP)",1
"Markus FERBER (DEU-EPP)","Lena DÜPONT (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Andrey NOVAKOV (BGR-EPP)",1
"Markus FERBER (DEU-EPP)","Petri SARVAMAA (FIN-EPP)",1
"Markus FERBER (DEU-EPP)","Luděk NIEDERMAYER (CZE-EPP)",1
"Markus FERBER (DEU-EPP)","Stanislav POLČÁK (CZE-EPP)",1
"Markus FERBER (DEU-EPP)","Michaela ŠOJDROVÁ (CZE-EPP)",1
"Markus FERBER (DEU-EPP)","Tomáš ZDECHOVSKÝ (CZE-EPP)",1
"Markus FERBER (DEU-EPP)","Henna VIRKKUNEN (FIN-EPP)",1
"Markus FERBER (DEU-EPP)","Siegfried MUREŞAN (ROU-EPP)",1
"Markus FERBER (DEU-EPP)","David McALLISTER (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Jens GIESEKE (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Norbert LINS (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Emil RADEV (BGR-EPP)",1
"Markus FERBER (DEU-EPP)","Ivan ŠTEFANEC (SVK-EPP)",1
"Markus FERBER (DEU-EPP)","Franc BOGOVIČ (SVN-EPP)",1
"Markus FERBER (DEU-EPP)","Daniel BUDA (ROU-EPP)",1
"Markus FERBER (DEU-EPP)","Romana TOMC (SVN-EPP)",1
"Markus FERBER (DEU-EPP)","Jiří POSPÍŠIL (CZE-EPP)",1
"Markus FERBER (DEU-EPP)","Urmas PAET (EST-RENEW)",1
"Markus FERBER (DEU-EPP)","Dennis RADTKE (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Asim ADEMOV (BGR-EPP)",1
"Markus FERBER (DEU-EPP)","Lukas MANDL (AUT-EPP)",1
