"from","to","weight"
"Charles GOERENS (LUX-RENEW)","Peter LIESE (DEU-EPP)",1
"Charles GOERENS (LUX-RENEW)","María Soraya RODRÍGUEZ RAMOS (ESP-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Antonius MANDERS (NLD-EPP)",1
"Charles GOERENS (LUX-RENEW)","Fabienne KELLER (FRA-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Sophia IN 'T VELD (NLD-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Iratxe GARCÍA PÉREZ (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Javier MORENO SÁNCHEZ (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Francisco José MILLÁN MON (ESP-EPP)",1
"Charles GOERENS (LUX-RENEW)","Corina CREȚU (ROU-SD)",1
"Charles GOERENS (LUX-RENEW)","Jan HUITEMA (NLD-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Victor NEGRESCU (ROU-SD)",1
"Charles GOERENS (LUX-RENEW)","Seán KELLY (IRL-EPP)",1
"Charles GOERENS (LUX-RENEW)","Morten LØKKEGAARD (DNK-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Pascal CANFIN (FRA-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Sabine VERHEYEN (DEU-EPP)",1
"Charles GOERENS (LUX-RENEW)","Juan Fernando LÓPEZ AGUILAR (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Dominique RIQUET (FRA-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Paolo DE CASTRO (ITA-SD)",1
"Charles GOERENS (LUX-RENEW)","Eider GARDIAZABAL RUBIAL (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Guy VERHOFSTADT (BEL-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Nils TORVALDS (FIN-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Alicia HOMS GINEL (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Andrus ANSIP (EST-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Jana TOOM (EST-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Luděk NIEDERMAYER (CZE-EPP)",1
"Charles GOERENS (LUX-RENEW)","Dita CHARANZOVÁ (CZE-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Henna VIRKKUNEN (FIN-EPP)",1
"Charles GOERENS (LUX-RENEW)","Carlos ZORRINHO (PRT-SD)",1
"Charles GOERENS (LUX-RENEW)","Pedro SILVA PEREIRA (PRT-SD)",1
"Charles GOERENS (LUX-RENEW)","Petras AUŠTREVIČIUS (LTU-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Alessandra MORETTI (ITA-SD)",1
"Charles GOERENS (LUX-RENEW)","Siegfried MUREŞAN (ROU-EPP)",1
"Charles GOERENS (LUX-RENEW)","Nicola DANTI (ITA-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Ulrike MÜLLER (DEU-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Ilhan KYUCHYUK (BGR-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Morten PETERSEN (DNK-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Deirdre CLUNE (IRL-EPP)",1
"Charles GOERENS (LUX-RENEW)","Maite PAGAZAURTUNDÚA (ESP-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Inma RODRÍGUEZ-PIÑERO (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Clara AGUILERA (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Jonás FERNÁNDEZ (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Georgios KYRTSOS (GRC-EPP)",1
"Charles GOERENS (LUX-RENEW)","Jordi CAÑAS (ESP-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Domènec RUIZ DEVESA (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Hilde VAUTMANS (BEL-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Valérie HAYER (FRA-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Caroline NAGTEGAAL (NLD-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Elsi KATAINEN (FIN-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Heléne FRITZON (SWE-SD)",1
"Charles GOERENS (LUX-RENEW)","Abir AL-SAHLANI (SWE-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Karin KARLSBRO (SWE-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Niclas HERBST (DEU-EPP)",1
"Charles GOERENS (LUX-RENEW)","Monica SEMEDO (LUX-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Marion WALSMANN (DEU-EPP)",1
"Charles GOERENS (LUX-RENEW)","Jan-Christoph OETJEN (DEU-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Gabriele BISCHOFF (DEU-SD)",1
"Charles GOERENS (LUX-RENEW)","Andreas GLÜCK (DEU-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Svenja HAHN (DEU-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Moritz KÖRNER (DEU-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Irena JOVEVA (SVN-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Klemen GROŠELJ (SVN-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Cindy FRANSSEN (BEL-EPP)",1
"Charles GOERENS (LUX-RENEW)","Olivier CHASTEL (BEL-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Sven MIKSER (EST-SD)",1
"Charles GOERENS (LUX-RENEW)","Marie-Pierre VEDRENNE (FRA-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Jérémy DECERLE (FRA-RENEW)",1
