"from","to","weight"
"Constanze KREHL (DEU-SD)","Antonio TAJANI (ITA-EPP)",1
"Constanze KREHL (DEU-SD)","Lefteris CHRISTOFOROU (CYP-EPP)",1
"Constanze KREHL (DEU-SD)","Ismail ERTUG (DEU-SD)",1
"Constanze KREHL (DEU-SD)","Michal ŠIMEČKA (SVK-RENEW)",1
"Constanze KREHL (DEU-SD)","Eric ANDRIEU (FRA-SD)",1
"Constanze KREHL (DEU-SD)","Eleonora EVI (ITA-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Simona BONAFÈ (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Ernest URTASUN (ESP-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Jytte GUTELAND (SWE-SD)",1
"Constanze KREHL (DEU-SD)","Nikos ANDROULAKIS (GRC-SD)",1
"Constanze KREHL (DEU-SD)","Chrysoula ZACHAROPOULOU (FRA-RENEW)",1
"Constanze KREHL (DEU-SD)","Luis GARICANO (ESP-RENEW)",1
"Constanze KREHL (DEU-SD)","Søren GADE (DNK-RENEW)",1
"Constanze KREHL (DEU-SD)","Pierfrancesco MAJORINO (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Véronique TRILLET-LENOIR (FRA-RENEW)",1
"Constanze KREHL (DEU-SD)","Carlo CALENDA (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Bettina VOLLATH (AUT-SD)",1
"Constanze KREHL (DEU-SD)","Pernando BARRENA ARZA (ESP-GUE_NGL)",1
"Constanze KREHL (DEU-SD)","Manuel PIZARRO (PRT-SD)",1
"Constanze KREHL (DEU-SD)","Adriana MALDONADO LÓPEZ (ESP-SD)",1
"Constanze KREHL (DEU-SD)","Andrea CAROPPO (ITA-EPP)",1
"Markus FERBER (DEU-EPP)","Axel VOSS (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Jarosław DUDA (POL-EPP)",1
"José Manuel GARCÍA-MARGALLO Y MARFIL (ESP-EPP)","Javier ZARZALEJOS (ESP-EPP)",1
"Antonio TAJANI (ITA-EPP)","Raffaele FITTO (ITA-ECR)",1
"Antonio TAJANI (ITA-EPP)","Lefteris CHRISTOFOROU (CYP-EPP)",1
"Antonio TAJANI (ITA-EPP)","Aldo PATRICIELLO (ITA-EPP)",1
"Antonio TAJANI (ITA-EPP)","Peter van DALEN (NLD-EPP)",1
"Antonio TAJANI (ITA-EPP)","Mara BIZZOTTO (ITA-ID)",1
"Antonio TAJANI (ITA-EPP)","Eva MAYDELL (BGR-EPP)",1
"Antonio TAJANI (ITA-EPP)","Joëlle MÉLIN (FRA-ID)",1
"Antonio TAJANI (ITA-EPP)","Eleonora EVI (ITA-GREEN_EFA)",1
"Antonio TAJANI (ITA-EPP)","Simona BONAFÈ (ITA-SD)",1
"Antonio TAJANI (ITA-EPP)","Fulvio MARTUSCIELLO (ITA-EPP)",1
"Antonio TAJANI (ITA-EPP)","Krzysztof HETMAN (POL-EPP)",1
"Antonio TAJANI (ITA-EPP)","Jytte GUTELAND (SWE-SD)",1
"Antonio TAJANI (ITA-EPP)","Esteban GONZÁLEZ PONS (ESP-EPP)",1
"Antonio TAJANI (ITA-EPP)","Annie SCHREIJER-PIERIK (NLD-EPP)",1
"Antonio TAJANI (ITA-EPP)","Loucas FOURLAS (CYP-EPP)",1
"Antonio TAJANI (ITA-EPP)","Bartosz ARŁUKOWICZ (POL-EPP)",1
"Antonio TAJANI (ITA-EPP)","Chrysoula ZACHAROPOULOU (FRA-RENEW)",1
