Source,Target
8,182
8,555
12,386
17,54
17,360
17,400
17,746
28,398
29,38
29,62
29,67
29,68
29,85
29,136
29,137
29,140
29,268
29,270
29,271
29,272
29,273
29,358
29,444
29,462
29,476
29,478
29,479
29,480
29,489
29,491
29,496
29,497
29,500
29,503
29,504
29,512
29,518
29,521
29,525
29,556
29,691
29,735
29,738
29,742
29,743
29,758
29,767
29,771
29,782
29,785
29,790
29,810
31,43
31,99
31,116
31,123
31,361
31,493
31,495
31,511
35,38
35,67
35,68
35,116
35,136
35,137
35,268
35,270
35,271
35,273
35,436
35,438
35,479
35,480
35,489
35,491
35,493
35,496
35,497
35,500
35,503
35,504
35,511
35,512
35,518
35,521
35,525
35,686
35,691
35,785
35,810
38,62
38,67
38,68
38,69
38,136
38,137
38,140
38,268
38,270
38,271
38,272
38,273
38,462
38,476
38,478
38,479
38,480
38,489
38,491
38,496
38,497
38,500
38,503
38,504
38,512
38,518
38,521
38,525
38,556
38,691
38,735
38,738
38,743
38,782
38,785
43,99
43,123
43,493
43,495
46,149
46,186
46,234
46,246
46,274
46,291
46,367
46,388
46,453
46,507
46,514
46,543
46,600
46,660
46,669
46,706
46,712
53,745
54,128
54,396
54,582
55,91
55,596
57,398
61,71
61,126
61,138
61,569
61,616
61,663
61,745
61,751
61,753
62,67
62,68
62,136
62,137
62,268
62,270
62,271
62,273
62,476
62,478
62,479
62,480
62,489
62,491
62,497
62,500
62,503
62,504
62,512
62,518
62,521
62,525
62,758
62,785
62,790
62,810
67,68
67,69
67,116
67,136
67,137
67,140
67,268
67,270
67,271
67,272
67,273
67,358
67,438
67,444
67,462
67,476
67,478
67,479
67,480
67,489
67,491
67,496
67,497
67,500
67,503
67,504
67,511
67,512
67,518
67,521
67,525
67,556
67,691
67,735
67,738
67,742
67,743
67,758
67,767
67,782
67,785
67,790
67,810
68,69
68,110
68,116
68,136
68,137
68,140
68,268
68,270
68,271
68,272
68,273
68,438
68,462
68,476
68,478
68,479
68,480
68,489
68,491
68,496
68,497
68,500
68,503
68,504
68,511
68,512
68,518
68,521
68,525
68,556
68,691
68,738
68,758
68,785
68,810
69,136
69,137
69,140
69,231
69,268
69,270
69,271
69,272
69,273
69,462
69,479
69,480
69,489
69,491
69,497
69,503
69,504
69,512
69,518
69,521
69,525
69,735
69,738
69,782
69,785
70,311
71,72
71,138
71,166
71,555
71,569
71,616
71,643
71,693
72,138
72,141
72,166
72,555
72,569
72,616
72,693
76,272
76,738
85,92
85,103
85,180
85,183
85,225
85,228
85,235
85,286
85,294
85,342
85,346
85,352
85,364
85,438
85,454
85,515
85,530
85,532
85,534
85,537
85,557
85,558
85,559
85,564
85,570
85,573
85,574
85,575
85,617
85,623
85,624
85,625
85,702
85,703
85,704
85,711
85,714
85,721
85,739
85,768
85,790
85,795
90,160
90,409
91,182
92,103
92,225
92,286
92,294
92,346
92,352
92,358
92,441
92,454
92,515
92,547
92,558
92,570
92,573
92,574
92,617
92,625
92,702
92,704
92,768
92,795
95,322
97,121
97,186
97,285
97,374
97,544
97,660
99,123
99,493
99,495
103,180
103,183
103,225
103,228
103,231
103,232
103,235
103,294
103,334
103,335
103,340
103,352
103,364
103,448
103,450
103,454
103,512
103,532
103,547
103,558
103,559
103,563
103,570
103,573
103,574
103,575
103,617
103,623
103,624
103,625
103,641
103,691
103,702
103,703
103,704
103,739
103,742
103,743
103,768
103,795
110,140
110,476
110,479
110,497
110,518
110,735
110,738
116,271
116,436
116,438
116,489
116,491
116,493
116,496
116,503
116,504
116,511
116,518
116,521
116,525
116,691
121,122
121,149
121,186
121,195
121,234
121,246
121,285
121,374
121,410
121,453
121,469
121,543
121,544
121,618
121,660
122,186
122,234
122,285
122,469
122,543
123,493
123,495
126,442
126,569
126,751
127,165
128,477
134,442
134,751
136,137
136,140
136,268
136,270
136,271
136,272
136,273
136,462
136,476
136,479
136,480
136,489
136,491
136,497
136,500
136,503
136,504
136,512
136,518
136,521
136,525
136,556
136,691
136,735
136,738
136,782
136,785
137,140
137,268
137,270
137,271
137,272
137,273
137,462
137,476
137,478
137,479
137,480
137,489
137,491
137,497
137,500
137,503
137,504
137,512
137,518
137,521
137,525
137,556
137,691
137,735
137,738
137,743
137,758
137,782
137,785
138,166
138,555
138,569
138,616
139,274
139,302
139,367
139,374
139,453
139,494
139,600
139,669
140,268
140,270
140,271
140,272
140,273
140,476
140,479
140,480
140,489
140,491
140,497
140,500
140,503
140,504
140,512
140,518
140,521
140,525
140,556
140,735
140,738
140,771
140,782
140,785
149,186
149,195
149,234
149,246
149,285
149,291
149,374
149,453
149,514
149,543
149,544
149,618
149,660
153,159
160,384
164,315
164,493
166,569
166,616
170,274
170,302
170,367
170,592
170,600
175,183
175,342
175,364
175,530
175,557
175,558
175,559
175,564
175,705
175,706
175,711
175,712
175,714
175,721
175,739
180,183
180,225
180,228
180,235
180,342
180,352
180,364
180,454
180,530
180,532
180,534
180,537
180,557
180,558
180,559
180,564
180,570
180,573
180,574
180,575
180,617
180,623
180,624
180,625
180,702
180,703
180,704
180,711
180,714
180,721
180,739
180,795
182,259
183,228
183,235
183,342
183,364
183,454
183,530
183,532
183,534
183,537
183,557
183,558
183,559
183,564
183,570
183,574
183,702
183,703
183,704
183,705
183,711
183,714
183,721
183,739
183,795
186,195
186,234
186,246
186,274
186,285
186,291
186,367
186,374
186,410
186,453
186,514
186,543
186,544
186,618
186,660
186,669
195,234
195,246
195,285
195,291
195,374
195,543
195,544
195,618
195,660
199,485
199,487
204,293
204,692
212,684
216,218
216,275
216,295
216,569
218,295
225,228
225,231
225,232
225,235
225,294
225,316
225,334
225,335
225,340
225,352
225,364
225,448
225,450
225,454
225,532
225,558
225,559
225,563
225,570
225,573
225,574
225,575
225,617
225,623
225,624
225,625
225,691
225,702
225,703
225,704
225,739
225,743
225,768
225,795
228,232
228,235
228,334
228,340
228,352
228,364
228,530
228,532
228,557
228,558
228,559
228,563
228,570
228,573
228,574
228,575
228,617
228,623
228,624
228,625
228,702
228,703
228,704
228,739
228,742
228,795
231,232
231,334
231,340
231,352
231,563
231,570
231,574
231,617
231,624
231,625
232,334
232,340
232,352
232,454
232,512
232,534
232,558
232,563
232,570
232,573
232,574
232,575
232,617
232,623
232,624
232,625
232,641
232,691
232,743
232,795
234,246
234,285
234,291
234,374
234,514
234,543
234,544
234,618
234,660
234,712
235,342
235,352
235,364
235,454
235,530
235,532
235,534
235,537
235,557
235,558
235,559
235,564
235,570
235,573
235,574
235,575
235,617
235,623
235,624
235,625
235,702
235,703
235,704
235,711
235,714
235,721
235,739
235,795
243,745
243,751
246,285
246,291
246,514
246,543
246,544
246,618
246,660
246,712
250,274
250,388
250,600
259,596
268,270
268,271
268,272
268,273
268,444
268,462
268,476
268,478
268,479
268,480
268,489
268,491
268,497
268,500
268,503
268,504
268,512
268,518
268,521
268,525
268,556
268,691
268,735
268,738
268,758
268,771
268,782
268,785
268,810
270,271
270,272
270,273
270,358
270,438
270,462
270,476
270,478
270,479
270,480
270,489
270,491
270,496
270,497
270,500
270,503
270,504
270,512
270,518
270,521
270,525
270,556
270,691
270,735
270,738
270,743
270,758
270,782
270,785
270,790
270,810
271,272
271,273
271,358
271,438
271,462
271,476
271,478
271,479
271,480
271,489
271,491
271,496
271,497
271,500
271,503
271,504
271,511
271,512
271,518
271,521
271,525
271,556
271,691
271,735
271,738
271,742
271,743
271,758
271,767
271,782
271,785
271,790
271,810
272,273
272,364
272,462
272,476
272,479
272,480
272,489
272,491
272,497
272,500
272,503
272,504
272,512
272,518
272,521
272,525
272,556
272,691
272,735
272,738
272,743
272,782
272,785
273,358
273,438
273,462
273,476
273,478
273,479
273,480
273,489
273,491
273,496
273,497
273,500
273,503
273,504
273,511
273,512
273,518
273,521
273,525
273,556
273,691
273,735
273,738
273,742
273,743
273,758
273,767
273,782
273,785
273,790
273,810
274,302
274,367
274,374
274,385
274,388
274,453
274,494
274,507
274,544
274,592
274,596
274,600
274,660
274,669
274,706
274,712
285,374
285,469
285,543
285,544
285,618
285,660
286,294
286,326
286,346
286,358
286,441
286,449
286,454
286,515
286,547
286,557
286,558
286,559
286,573
286,641
286,702
286,703
286,768
286,795
291,374
291,514
291,543
291,544
291,618
291,660
291,712
293,358
293,573
294,346
294,441
294,454
294,515
294,558
294,574
294,702
294,704
294,768
294,795
295,391
297,582
302,367
302,374
302,494
302,600
302,669
310,409
313,604
315,493
316,352
316,436
316,438
316,496
316,511
316,617
316,625
316,691
316,742
316,795
322,385
322,592
322,596
322,774
326,335
326,346
326,358
326,443
326,444
326,445
326,446
326,447
326,448
326,449
326,450
326,454
326,692
326,809
332,635
334,340
334,352
334,462
334,570
334,573
334,574
334,575
334,617
334,623
334,624
334,625
334,641
334,691
334,795
335,358
335,443
335,445
335,446
335,447
335,448
335,449
335,450
335,454
335,574
335,617
335,641
335,692
335,809
339,674
340,352
340,454
340,462
340,512
340,563
340,570
340,573
340,574
340,575
340,617
340,623
340,624
340,625
340,795
342,364
342,530
342,532
342,534
342,557
342,558
342,559
342,564
342,702
342,703
342,705
342,711
342,714
342,721
342,739
342,782
344,774
346,358
346,441
346,449
346,454
346,515
346,547
346,557
346,558
346,559
346,573
346,641
346,702
346,703
346,768
346,795
352,364
352,454
352,476
352,532
352,547
352,558
352,559
352,563
352,570
352,573
352,574
352,575
352,617
352,623
352,624
352,625
352,691
352,702
352,703
352,704
352,739
352,742
352,743
352,795
354,746
358,438
358,444
358,447
358,449
358,454
358,476
358,489
358,491
358,496
358,497
358,503
358,521
358,525
358,547
358,691
358,742
358,743
358,767
358,782
358,785
358,790
358,809
358,810
360,400
360,781
364,454
364,515
364,530
364,532
364,534
364,557
364,558
364,559
364,564
364,570
364,573
364,574
364,575
364,617
364,623
364,624
364,625
364,702
364,703
364,704
364,705
364,711
364,714
364,721
364,739
364,782
364,795
367,374
367,453
367,494
367,507
367,544
367,600
367,660
367,669
374,410
374,453
374,494
374,544
374,600
374,618
374,660
374,669
379,381
379,382
379,383
381,382
385,592
385,596
385,608
387,391
387,477
388,669
389,390
390,734
391,774
396,477
396,786
399,746
400,746
402,745
402,751
410,469
410,544
410,660
436,438
436,496
436,511
436,691
438,489
438,491
438,493
438,496
438,497
438,503
438,504
438,511
438,512
438,518
438,521
438,525
438,691
438,785
441,454
441,768
442,751
443,445
443,446
443,447
443,448
443,449
443,450
443,520
443,692
444,479
444,489
444,491
444,503
444,521
444,525
444,691
444,742
444,743
444,767
444,782
444,785
444,790
444,809
444,810
445,446
445,447
445,448
445,449
445,450
445,641
445,692
445,809
446,447
446,448
446,449
446,450
447,448
447,449
447,450
447,454
447,641
447,692
447,809
448,449
448,450
448,520
448,574
448,575
448,617
448,641
448,692
448,809
449,450
449,520
449,575
449,617
449,641
449,692
449,809
450,520
450,574
450,575
450,617
450,641
450,692
450,809
453,494
453,600
453,660
453,669
454,489
454,515
454,547
454,557
454,558
454,559
454,564
454,570
454,573
454,574
454,575
454,617
454,624
454,625
454,641
454,691
454,702
454,703
454,704
454,768
454,790
454,795
462,476
462,478
462,479
462,480
462,489
462,491
462,497
462,500
462,503
462,504
462,512
462,518
462,521
462,525
462,556
462,691
462,738
462,758
462,782
462,785
470,473
470,745
470,751
476,478
476,479
476,480
476,489
476,491
476,496
476,497
476,500
476,503
476,504
476,512
476,518
476,521
476,525
476,556
476,599
476,625
476,691
476,735
476,742
476,743
476,758
476,767
476,771
476,782
476,785
476,790
476,810
477,596
477,608
478,479
478,480
478,489
478,491
478,497
478,500
478,503
478,504
478,512
478,518
478,521
478,525
478,556
478,691
478,758
478,785
479,480
479,489
479,491
479,496
479,497
479,500
479,503
479,504
479,512
479,518
479,521
479,525
479,556
479,691
479,735
479,738
479,742
479,743
479,758
479,767
479,782
479,785
479,790
479,810
480,489
480,491
480,497
480,500
480,503
480,504
480,512
480,518
480,521
480,525
480,556
480,691
480,738
480,742
480,782
480,785
485,487
489,491
489,496
489,497
489,500
489,503
489,504
489,511
489,512
489,518
489,521
489,525
489,556
489,691
489,735
489,738
489,742
489,743
489,758
489,767
489,782
489,785
489,790
489,810
491,496
491,497
491,500
491,503
491,504
491,511
491,512
491,518
491,521
491,525
491,556
491,691
491,735
491,738
491,742
491,743
491,758
491,767
491,782
491,785
491,790
491,810
493,496
493,511
494,600
494,669
494,706
496,497
496,500
496,503
496,504
496,511
496,518
496,521
496,525
496,530
496,557
496,564
496,691
496,735
496,785
497,500
497,503
497,504
497,512
497,518
497,521
497,525
497,556
497,691
497,735
497,738
497,742
497,743
497,758
497,767
497,782
497,785
497,810
500,503
500,504
500,512
500,518
500,521
500,525
500,556
500,691
500,735
500,758
500,785
503,504
503,511
503,512
503,518
503,521
503,525
503,556
503,691
503,735
503,738
503,742
503,743
503,758
503,767
503,782
503,785
503,790
503,810
504,511
504,512
504,518
504,521
504,525
504,556
504,691
504,735
504,738
504,743
504,758
504,782
504,785
504,810
507,592
507,600
511,518
511,521
511,525
511,691
512,518
512,521
512,525
512,556
512,574
512,624
512,691
512,735
512,738
512,742
512,743
512,758
512,782
512,785
512,790
512,810
514,543
514,660
514,669
514,712
515,530
515,557
515,558
515,559
515,564
515,768
518,521
518,525
518,556
518,691
518,735
518,738
518,742
518,743
518,758
518,767
518,782
518,785
518,790
518,810
521,525
521,556
521,691
521,735
521,738
521,742
521,743
521,758
521,767
521,782
521,785
521,790
521,810
523,545
523,712
525,556
525,691
525,735
525,738
525,742
525,743
525,758
525,767
525,782
525,785
525,790
525,810
530,532
530,534
530,537
530,557
530,558
530,559
530,564
530,702
530,703
530,704
530,705
530,711
530,714
530,721
530,739
530,795
532,547
532,557
532,558
532,559
532,564
532,570
532,573
532,574
532,575
532,617
532,623
532,624
532,625
532,702
532,703
532,704
532,711
532,714
532,721
532,739
532,795
534,557
534,558
534,559
534,564
534,702
534,703
534,714
534,721
534,739
537,557
537,558
537,559
537,564
537,702
537,703
543,544
543,618
543,660
544,618
544,660
544,669
545,547
547,573
547,574
547,625
547,641
547,691
547,714
547,768
547,795
555,616
556,691
556,735
556,738
556,742
556,743
556,758
556,767
556,782
556,785
557,558
557,559
557,564
557,702
557,703
557,704
557,705
557,714
557,721
557,739
557,795
558,559
558,564
558,570
558,573
558,574
558,575
558,617
558,623
558,624
558,625
558,702
558,703
558,704
558,705
558,711
558,714
558,721
558,739
558,768
558,795
559,564
559,570
559,573
559,574
559,575
559,617
559,623
559,624
559,625
559,702
559,703
559,704
559,705
559,711
559,714
559,721
559,739
559,795
563,570
563,574
563,623
563,625
563,795
564,702
564,703
564,704
564,705
564,711
564,714
564,721
564,739
564,795
569,616
570,573
570,574
570,575
570,617
570,623
570,624
570,625
570,691
570,702
570,703
570,704
570,739
570,742
570,743
570,790
570,795
573,574
573,575
573,617
573,623
573,624
573,625
573,702
573,703
573,704
573,739
573,742
573,768
573,795
574,575
574,617
574,623
574,624
574,625
574,641
574,691
574,702
574,703
574,704
574,739
574,742
574,743
574,768
574,795
575,617
575,623
575,624
575,625
575,702
575,739
575,795
582,608
591,776
592,600
593,684
596,786
599,641
599,691
599,743
600,669
600,712
616,643
617,623
617,624
617,625
617,691
617,702
617,703
617,704
617,739
617,742
617,743
617,790
617,795
618,660
618,741
623,624
623,625
623,702
623,703
623,704
623,739
623,795
624,625
624,641
624,691
624,702
624,704
624,743
624,795
625,691
625,702
625,703
625,704
625,739
625,742
625,743
625,795
641,691
641,692
641,809
656,732
660,669
663,751
669,706
669,712
691,735
691,742
691,743
691,758
691,767
691,782
691,785
691,790
691,795
691,809
691,810
692,809
702,703
702,704
702,705
702,711
702,714
702,721
702,739
702,768
702,795
703,704
703,711
703,714
703,721
703,739
703,768
703,795
704,711
704,714
704,739
704,768
704,795
705,706
705,711
705,712
705,714
705,739
706,712
711,714
711,739
714,739
721,739
735,738
735,742
735,743
735,758
735,767
735,782
735,785
738,782
738,785
739,795
742,743
742,758
742,767
742,782
742,785
742,790
742,795
743,767
743,782
743,785
743,790
743,795
743,810
745,751
745,753
746,781
751,753
758,767
758,785
767,782
767,785
767,790
768,795
771,782
782,785
782,790
785,790
785,810
790,795
790,810
811,820
812,816
815,817
816,817
817,820
