Id,Label,group_code
1,RENEW,RENEW
2,SD,SD
3,EPP,EPP
5,SD,SD
6,EPP,EPP
7,EPP,EPP
8,EPP,EPP
10,EPP,EPP
11,SD,SD
12,EPP,EPP
13,EPP,EPP
15,RENEW,RENEW
17,EPP,EPP
19,EPP,EPP
20,ECR,ECR
21,ECR,ECR
22,SD,SD
24,SD,SD
25,GREEN_EFA,GREEN_EFA
26,RENEW,RENEW
27,ECR,ECR
28,EPP,EPP
29,ECR,ECR
31,EPP,EPP
34,GUE_NGL,GUE_NGL
35,ECR,ECR
38,ECR,ECR
39,NI,NI
40,EPP,EPP
41,SD,SD
42,GUE_NGL,GUE_NGL
43,EPP,EPP
45,GREEN_EFA,GREEN_EFA
46,EPP,EPP
47,NI,NI
48,EPP,EPP
49,EPP,EPP
50,NI,NI
51,NI,NI
53,EPP,EPP
54,EPP,EPP
55,EPP,EPP
57,EPP,EPP
60,EPP,EPP
61,EPP,EPP
62,ECR,ECR
65,SD,SD
67,ECR,ECR
68,ECR,ECR
69,ECR,ECR
70,EPP,EPP
71,EPP,EPP
72,EPP,EPP
73,EPP,EPP
74,GREEN_EFA,GREEN_EFA
75,GUE_NGL,GUE_NGL
76,ECR,ECR
77,EPP,EPP
81,GREEN_EFA,GREEN_EFA
82,EPP,EPP
85,ID,ID
86,EPP,EPP
87,SD,SD
89,EPP,EPP
90,EPP,EPP
91,EPP,EPP
92,ID,ID
93,SD,SD
95,EPP,EPP
97,RENEW,RENEW
99,EPP,EPP
101,GUE_NGL,GUE_NGL
103,ID,ID
105,GUE_NGL,GUE_NGL
107,SD,SD
110,ECR,ECR
112,GUE_NGL,GUE_NGL
116,ECR,ECR
118,GREEN_EFA,GREEN_EFA
121,GREEN_EFA,GREEN_EFA
122,GREEN_EFA,GREEN_EFA
123,EPP,EPP
126,EPP,EPP
127,EPP,EPP
128,EPP,EPP
130,EPP,EPP
133,EPP,EPP
134,EPP,EPP
136,ECR,ECR
137,ECR,ECR
138,EPP,EPP
139,EPP,EPP
140,ECR,ECR
141,EPP,EPP
143,GUE_NGL,GUE_NGL
144,NI,NI
145,NI,NI
146,NI,NI
149,SD,SD
150,SD,SD
151,GUE_NGL,GUE_NGL
153,EPP,EPP
159,EPP,EPP
160,EPP,EPP
161,SD,SD
164,EPP,EPP
165,EPP,EPP
166,EPP,EPP
167,NI,NI
169,RENEW,RENEW
170,EPP,EPP
174,ECR,ECR
175,ID,ID
177,EPP,EPP
178,EPP,EPP
180,ID,ID
182,EPP,EPP
183,ID,ID
186,RENEW,RENEW
189,ECR,ECR
190,RENEW,RENEW
195,SD,SD
196,GUE_NGL,GUE_NGL
198,EPP,EPP
199,RENEW,RENEW
200,ECR,ECR
201,EPP,EPP
202,GUE_NGL,GUE_NGL
204,ECR,ECR
205,NI,NI
212,EPP,EPP
216,EPP,EPP
217,NI,NI
218,EPP,EPP
219,NI,NI
220,EPP,EPP
225,ID,ID
228,ID,ID
229,ID,ID
231,ID,ID
232,ID,ID
234,GREEN_EFA,GREEN_EFA
235,ID,ID
240,EPP,EPP
241,EPP,EPP
243,EPP,EPP
244,EPP,EPP
246,SD,SD
247,GREEN_EFA,GREEN_EFA
250,EPP,EPP
259,EPP,EPP
268,ECR,ECR
269,ID,ID
270,ECR,ECR
271,ECR,ECR
272,ECR,ECR
273,ECR,ECR
274,EPP,EPP
275,EPP,EPP
278,GREEN_EFA,GREEN_EFA
279,SD,SD
280,SD,SD
281,SD,SD
282,SD,SD
284,SD,SD
285,GREEN_EFA,GREEN_EFA
286,ID,ID
287,GUE_NGL,GUE_NGL
290,RENEW,RENEW
291,SD,SD
292,GUE_NGL,GUE_NGL
293,ECR,ECR
294,ID,ID
295,EPP,EPP
297,EPP,EPP
302,EPP,EPP
303,EPP,EPP
312,EPP,EPP
313,EPP,EPP
314,NI,NI
315,EPP,EPP
316,ECR,ECR
318,SD,SD
321,RENEW,RENEW
322,EPP,EPP
326,ID,ID
329,EPP,EPP
332,GUE_NGL,GUE_NGL
334,ID,ID
335,ID,ID
336,ECR,ECR
339,GUE_NGL,GUE_NGL
340,ID,ID
342,ID,ID
344,EPP,EPP
346,ID,ID
348,GUE_NGL,GUE_NGL
349,SD,SD
351,EPP,EPP
352,ID,ID
353,ECR,ECR
354,EPP,EPP
355,SD,SD
357,GUE_NGL,GUE_NGL
358,ID,ID
360,EPP,EPP
361,EPP,EPP
364,ID,ID
367,EPP,EPP
369,SD,SD
370,SD,SD
374,SD,SD
376,ECR,ECR
379,EPP,EPP
381,EPP,EPP
382,EPP,EPP
384,EPP,EPP
385,EPP,EPP
386,EPP,EPP
387,EPP,EPP
388,EPP,EPP
389,GUE_NGL,GUE_NGL
390,GUE_NGL,GUE_NGL
391,EPP,EPP
394,EPP,EPP
396,EPP,EPP
398,EPP,EPP
399,EPP,EPP
400,EPP,EPP
401,SD,SD
402,EPP,EPP
407,NI,NI
410,RENEW,RENEW
411,NI,NI
436,ECR,ECR
437,GUE_NGL,GUE_NGL
438,ECR,ECR
440,GREEN_EFA,GREEN_EFA
441,ID,ID
442,EPP,EPP
443,ID,ID
444,ECR,ECR
445,ID,ID
446,ID,ID
447,ID,ID
448,ID,ID
449,ID,ID
450,ID,ID
453,EPP,EPP
454,ID,ID
460,RENEW,RENEW
462,ECR,ECR
469,RENEW,RENEW
470,EPP,EPP
473,EPP,EPP
476,ECR,ECR
477,EPP,EPP
478,ECR,ECR
479,ECR,ECR
480,ECR,ECR
481,GUE_NGL,GUE_NGL
485,RENEW,RENEW
486,GUE_NGL,GUE_NGL
487,RENEW,RENEW
488,GUE_NGL,GUE_NGL
489,ECR,ECR
491,ECR,ECR
492,GUE_NGL,GUE_NGL
493,EPP,EPP
494,EPP,EPP
495,EPP,EPP
496,ECR,ECR
497,ECR,ECR
498,GREEN_EFA,GREEN_EFA
500,ECR,ECR
503,ECR,ECR
504,ECR,ECR
505,GREEN_EFA,GREEN_EFA
507,EPP,EPP
511,ECR,ECR
512,ECR,ECR
513,RENEW,RENEW
514,RENEW,RENEW
515,ID,ID
518,ECR,ECR
520,ID,ID
521,ECR,ECR
523,ID,ID
524,GUE_NGL,GUE_NGL
525,ECR,ECR
530,ID,ID
532,ID,ID
534,ID,ID
537,ID,ID
543,SD,SD
544,RENEW,RENEW
545,ID,ID
547,ID,ID
548,ID,ID
550,RENEW,RENEW
552,GREEN_EFA,GREEN_EFA
554,RENEW,RENEW
555,EPP,EPP
556,ECR,ECR
557,ID,ID
558,ID,ID
559,ID,ID
561,GREEN_EFA,GREEN_EFA
562,ID,ID
563,ID,ID
564,ID,ID
565,SD,SD
569,EPP,EPP
570,ID,ID
572,RENEW,RENEW
573,ID,ID
574,ID,ID
575,ID,ID
576,ID,ID
581,EPP,EPP
582,EPP,EPP
587,EPP,EPP
588,GREEN_EFA,GREEN_EFA
590,EPP,EPP
591,EPP,EPP
592,EPP,EPP
593,EPP,EPP
596,EPP,EPP
599,ECR,ECR
600,EPP,EPP
603,RENEW,RENEW
604,EPP,EPP
606,RENEW,RENEW
608,EPP,EPP
615,SD,SD
616,EPP,EPP
617,ID,ID
618,GUE_NGL,GUE_NGL
620,ID,ID
621,GUE_NGL,GUE_NGL
622,ID,ID
623,ID,ID
624,ID,ID
625,ID,ID
627,RENEW,RENEW
630,GREEN_EFA,GREEN_EFA
633,GUE_NGL,GUE_NGL
634,RENEW,RENEW
635,GUE_NGL,GUE_NGL
641,ECR,ECR
642,GREEN_EFA,GREEN_EFA
643,EPP,EPP
645,GREEN_EFA,GREEN_EFA
647,RENEW,RENEW
655,RENEW,RENEW
656,GUE_NGL,GUE_NGL
657,SD,SD
659,NI,NI
660,SD,SD
663,EPP,EPP
664,RENEW,RENEW
667,GUE_NGL,GUE_NGL
669,EPP,EPP
671,RENEW,RENEW
674,GUE_NGL,GUE_NGL
675,RENEW,RENEW
678,SD,SD
