"from","to","weight"
"Heidi HAUTALA (FIN-GREEN_EFA)","Margrete AUKEN (DNK-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Anna CAVAZZINI (DEU-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Philippe LAMBERTS (BEL-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Bas EICKHOUT (NLD-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","François ALFONSI (FRA-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Martin HÄUSLING (DEU-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Marie TOUSSAINT (FRA-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Terry REINTKE (DEU-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Daniel FREUND (DEU-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Monika VANA (AUT-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Bronis ROPĖ (LTU-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Jakop G. DALUNDE (SWE-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Alexandra GEESE (DEU-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Jordi SOLÉ (ESP-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Thomas WAITZ (AUT-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Tilly METZ (LUX-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Alice KUHNKE (SWE-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Pär HOLMGREN (SWE-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Nico SEMSROTT (DEU-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Patrick BREYER (DEU-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Damian BOESELAGER (DEU-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Rasmus ANDRESEN (DEU-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Henrike HAHN (DEU-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Pierrette HERZBERGER-FOFANA (DEU-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Erik MARQUARDT (DEU-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Saskia BRICMONT (BEL-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Mounir SATOURI (FRA-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","David CORMAND (FRA-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Caroline ROOSE (FRA-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Gwendoline DELBOS-CORFIELD (FRA-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Sylwia SPUREK (POL-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Kira Marie PETER-HANSEN (DNK-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Damien CARÊME (FRA-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Francisco GUERREIRO (PRT-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Sarah WIENER (AUT-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Grace O'SULLIVAN (IRL-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Claude GRUFFAT (FRA-GREEN_EFA)",1
"Heidi HAUTALA (FIN-GREEN_EFA)","Sara MATTHIEU (BEL-GREEN_EFA)",1
"Rainer WIELAND (DEU-EPP)","Michael GAHLER (DEU-EPP)",1
"Udo BULLMANN (DEU-SD)","Tiemo WÖLKEN (DEU-SD)",1
"Sergio BERLATO (ITA-ECR)","Jacek SARYUSZ-WOLSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Anna FOTYGA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Marco CAMPOMENOSI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Ryszard Antoni LEGUTKO (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Carlo FIDANZA (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Alessandro PANZA (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Marco ZANNI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Angel DZHAMBAZKI (BGR-ECR)",1
"Sergio BERLATO (ITA-ECR)","Jadwiga WIŚNIEWSKA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Kosma ZŁOTOWSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Zdzisław KRASNODĘBSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Jörg MEUTHEN (DEU-ID)",1
"Sergio BERLATO (ITA-ECR)","Lars Patrick BERG (DEU-ECR)",1
"Sergio BERLATO (ITA-ECR)","Patryk JAKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Beata KEMPA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Izabela-Helena KLOC (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Joanna KOPCIŃSKA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Elżbieta KRUK (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Beata MAZUREK (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Andżelika Anna MOŻDŻANOWSKA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Elżbieta RAFALSKA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Bogdan RZOŃCA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Grzegorz TOBISZOWSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Witold Jan WASZCZYKOWSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Anna ZALEWSKA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Silvia SARDONE (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Pietro FIOCCHI (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Gianantonio DA RE (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Alessandra BASSO (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Elena LIZZI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Rosanna CONTE (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Cristian TERHEŞ (ROU-ECR)",1
"Sergio BERLATO (ITA-ECR)","Bert-Jan RUISSEN (NLD-ECR)",1
"Sergio BERLATO (ITA-ECR)","Susanna CECCARDI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Antonio Maria RINALDI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Annalisa TARDINO (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Nicola PROCACCINI (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Raffaele STANCANELLI (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Matteo ADINOLFI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Jorge BUXADÉ VILLALBA (ESP-ECR)",1
"Sergio BERLATO (ITA-ECR)","Andrey SLABAKOV (BGR-ECR)",1
"Sergio BERLATO (ITA-ECR)","Mazaly AGUILAR (ESP-ECR)",1
"Sergio BERLATO (ITA-ECR)","Emmanouil FRAGKOS (GRC-ECR)",1
"Sergio BERLATO (ITA-ECR)","Vincenzo SOFO (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Dominik TARCZYŃSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Margarita DE LA PISA CARRIÓN (ESP-ECR)",1
"Brice HORTEFEUX (FRA-EPP)","François-Xavier BELLAMY (FRA-EPP)",1
"Kathleen VAN BREMPT (BEL-SD)","Javier MORENO SÁNCHEZ (ESP-SD)",1
