Id,Label,group_code
1,RENEW,RENEW
2,SD,SD
3,EPP,EPP
5,SD,SD
6,EPP,EPP
8,EPP,EPP
9,GREEN_EFA,GREEN_EFA
10,EPP,EPP
11,SD,SD
12,EPP,EPP
13,EPP,EPP
15,RENEW,RENEW
17,EPP,EPP
19,EPP,EPP
20,ECR,ECR
21,ECR,ECR
22,SD,SD
24,SD,SD
25,GREEN_EFA,GREEN_EFA
26,RENEW,RENEW
27,ECR,ECR
29,ECR,ECR
30,SD,SD
31,EPP,EPP
32,SD,SD
34,GUE_NGL,GUE_NGL
35,ECR,ECR
38,ECR,ECR
39,NI,NI
40,EPP,EPP
42,GUE_NGL,GUE_NGL
43,EPP,EPP
45,GREEN_EFA,GREEN_EFA
46,EPP,EPP
47,NI,NI
48,EPP,EPP
50,NI,NI
51,NI,NI
52,GREEN_EFA,GREEN_EFA
53,EPP,EPP
55,EPP,EPP
62,ECR,ECR
63,SD,SD
65,SD,SD
66,SD,SD
67,ECR,ECR
68,ECR,ECR
69,ECR,ECR
71,EPP,EPP
73,EPP,EPP
74,GREEN_EFA,GREEN_EFA
75,GUE_NGL,GUE_NGL
76,ECR,ECR
78,GREEN_EFA,GREEN_EFA
80,GUE_NGL,GUE_NGL
81,GREEN_EFA,GREEN_EFA
83,SD,SD
85,ID,ID
86,EPP,EPP
87,SD,SD
88,SD,SD
90,EPP,EPP
92,ID,ID
93,SD,SD
97,RENEW,RENEW
98,RENEW,RENEW
99,EPP,EPP
100,GREEN_EFA,GREEN_EFA
101,GUE_NGL,GUE_NGL
103,ID,ID
105,GUE_NGL,GUE_NGL
106,GREEN_EFA,GREEN_EFA
107,SD,SD
108,EPP,EPP
110,ECR,ECR
111,NI,NI
112,GUE_NGL,GUE_NGL
116,ECR,ECR
117,GREEN_EFA,GREEN_EFA
118,GREEN_EFA,GREEN_EFA
119,GREEN_EFA,GREEN_EFA
120,GREEN_EFA,GREEN_EFA
121,GREEN_EFA,GREEN_EFA
122,GREEN_EFA,GREEN_EFA
123,EPP,EPP
124,GREEN_EFA,GREEN_EFA
125,GREEN_EFA,GREEN_EFA
128,EPP,EPP
129,EPP,EPP
130,EPP,EPP
136,ECR,ECR
137,ECR,ECR
138,EPP,EPP
139,EPP,EPP
140,ECR,ECR
142,SD,SD
143,GUE_NGL,GUE_NGL
144,NI,NI
145,NI,NI
146,NI,NI
148,SD,SD
149,SD,SD
150,SD,SD
151,GUE_NGL,GUE_NGL
153,EPP,EPP
154,GREEN_EFA,GREEN_EFA
155,SD,SD
159,EPP,EPP
160,EPP,EPP
161,SD,SD
168,SD,SD
169,RENEW,RENEW
170,EPP,EPP
174,ECR,ECR
175,ID,ID
176,GREEN_EFA,GREEN_EFA
180,ID,ID
183,ID,ID
184,SD,SD
185,GREEN_EFA,GREEN_EFA
186,RENEW,RENEW
187,GREEN_EFA,GREEN_EFA
189,ECR,ECR
190,RENEW,RENEW
195,SD,SD
196,GUE_NGL,GUE_NGL
198,EPP,EPP
199,RENEW,RENEW
200,ECR,ECR
201,EPP,EPP
202,GUE_NGL,GUE_NGL
204,ECR,ECR
205,NI,NI
214,RENEW,RENEW
215,RENEW,RENEW
217,NI,NI
219,NI,NI
220,EPP,EPP
223,EPP,EPP
225,ID,ID
228,ID,ID
229,ID,ID
231,ID,ID
232,ID,ID
233,NI,NI
234,GREEN_EFA,GREEN_EFA
235,ID,ID
241,EPP,EPP
243,EPP,EPP
244,EPP,EPP
245,NI,NI
246,SD,SD
247,GREEN_EFA,GREEN_EFA
250,EPP,EPP
252,NI,NI
253,NI,NI
254,GREEN_EFA,GREEN_EFA
257,GREEN_EFA,GREEN_EFA
260,SD,SD
261,GREEN_EFA,GREEN_EFA
268,ECR,ECR
269,ID,ID
270,ECR,ECR
271,ECR,ECR
272,ECR,ECR
273,ECR,ECR
274,EPP,EPP
276,GREEN_EFA,GREEN_EFA
278,GREEN_EFA,GREEN_EFA
279,SD,SD
280,SD,SD
281,SD,SD
282,SD,SD
284,SD,SD
285,GREEN_EFA,GREEN_EFA
286,ID,ID
287,GUE_NGL,GUE_NGL
288,GUE_NGL,GUE_NGL
289,EPP,EPP
290,RENEW,RENEW
291,SD,SD
292,GUE_NGL,GUE_NGL
293,ECR,ECR
294,ID,ID
300,GUE_NGL,GUE_NGL
302,EPP,EPP
303,EPP,EPP
310,EPP,EPP
311,EPP,EPP
312,EPP,EPP
313,EPP,EPP
314,NI,NI
316,ECR,ECR
318,SD,SD
320,GREEN_EFA,GREEN_EFA
326,ID,ID
329,EPP,EPP
332,GUE_NGL,GUE_NGL
333,GUE_NGL,GUE_NGL
334,ID,ID
335,ID,ID
336,ECR,ECR
337,RENEW,RENEW
339,GUE_NGL,GUE_NGL
340,ID,ID
341,GREEN_EFA,GREEN_EFA
342,ID,ID
343,GREEN_EFA,GREEN_EFA
344,EPP,EPP
346,ID,ID
347,GREEN_EFA,GREEN_EFA
348,GUE_NGL,GUE_NGL
349,SD,SD
351,EPP,EPP
352,ID,ID
353,ECR,ECR
355,SD,SD
356,GREEN_EFA,GREEN_EFA
357,GUE_NGL,GUE_NGL
358,ID,ID
359,RENEW,RENEW
361,EPP,EPP
363,SD,SD
364,ID,ID
365,GREEN_EFA,GREEN_EFA
366,GREEN_EFA,GREEN_EFA
367,EPP,EPP
368,EPP,EPP
369,SD,SD
370,SD,SD
371,EPP,EPP
373,GREEN_EFA,GREEN_EFA
374,SD,SD
375,GREEN_EFA,GREEN_EFA
376,ECR,ECR
379,EPP,EPP
380,SD,SD
381,EPP,EPP
382,EPP,EPP
383,EPP,EPP
385,EPP,EPP
387,EPP,EPP
388,EPP,EPP
389,GUE_NGL,GUE_NGL
390,GUE_NGL,GUE_NGL
391,EPP,EPP
394,EPP,EPP
395,EPP,EPP
397,GREEN_EFA,GREEN_EFA
400,EPP,EPP
401,SD,SD
403,RENEW,RENEW
404,GREEN_EFA,GREEN_EFA
405,RENEW,RENEW
406,SD,SD
407,NI,NI
409,EPP,EPP
410,RENEW,RENEW
412,GREEN_EFA,GREEN_EFA
415,RENEW,RENEW
416,RENEW,RENEW
417,RENEW,RENEW
420,GREEN_EFA,GREEN_EFA
421,GREEN_EFA,GREEN_EFA
422,GREEN_EFA,GREEN_EFA
424,GREEN_EFA,GREEN_EFA
426,GREEN_EFA,GREEN_EFA
428,GREEN_EFA,GREEN_EFA
429,GREEN_EFA,GREEN_EFA
430,GREEN_EFA,GREEN_EFA
431,GREEN_EFA,GREEN_EFA
433,GREEN_EFA,GREEN_EFA
434,GREEN_EFA,GREEN_EFA
435,GREEN_EFA,GREEN_EFA
436,ECR,ECR
437,GUE_NGL,GUE_NGL
438,ECR,ECR
439,GREEN_EFA,GREEN_EFA
440,GREEN_EFA,GREEN_EFA
441,ID,ID
442,EPP,EPP
443,ID,ID
444,ECR,ECR
445,ID,ID
446,ID,ID
447,ID,ID
448,ID,ID
449,ID,ID
450,ID,ID
453,EPP,EPP
454,ID,ID
457,SD,SD
458,SD,SD
460,RENEW,RENEW
461,GREEN_EFA,GREEN_EFA
462,ECR,ECR
464,GREEN_EFA,GREEN_EFA
467,GREEN_EFA,GREEN_EFA
468,SD,SD
469,RENEW,RENEW
472,GREEN_EFA,GREEN_EFA
474,EPP,EPP
476,ECR,ECR
477,EPP,EPP
478,ECR,ECR
479,ECR,ECR
480,ECR,ECR
481,GUE_NGL,GUE_NGL
484,EPP,EPP
485,RENEW,RENEW
486,GUE_NGL,GUE_NGL
487,RENEW,RENEW
488,GUE_NGL,GUE_NGL
489,ECR,ECR
490,GREEN_EFA,GREEN_EFA
491,ECR,ECR
492,GUE_NGL,GUE_NGL
493,EPP,EPP
494,EPP,EPP
495,EPP,EPP
496,ECR,ECR
497,ECR,ECR
498,GREEN_EFA,GREEN_EFA
500,ECR,ECR
501,EPP,EPP
503,ECR,ECR
504,ECR,ECR
