"from","to","weight"
"Charles GOERENS (LUX-RENEW)","Peter LIESE (DEU-EPP)",1
"Charles GOERENS (LUX-RENEW)","Antonius MANDERS (NLD-EPP)",1
"Charles GOERENS (LUX-RENEW)","Fabienne KELLER (FRA-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Sophia IN 'T VELD (NLD-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Jan OLBRYCHT (POL-EPP)",1
"Charles GOERENS (LUX-RENEW)","Francisco José MILLÁN MON (ESP-EPP)",1
"Charles GOERENS (LUX-RENEW)","Jan HUITEMA (NLD-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Seán KELLY (IRL-EPP)",1
"Charles GOERENS (LUX-RENEW)","Morten LØKKEGAARD (DNK-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Herbert DORFMANN (ITA-EPP)",1
"Charles GOERENS (LUX-RENEW)","Pablo ARIAS ECHEVERRÍA (ESP-EPP)",1
"Charles GOERENS (LUX-RENEW)","Maria da Graça CARVALHO (PRT-EPP)",1
"Charles GOERENS (LUX-RENEW)","Paolo DE CASTRO (ITA-SD)",1
"Charles GOERENS (LUX-RENEW)","José Manuel FERNANDES (PRT-EPP)",1
"Charles GOERENS (LUX-RENEW)","Paulo RANGEL (PRT-EPP)",1
"Charles GOERENS (LUX-RENEW)","Guy VERHOFSTADT (BEL-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Nils TORVALDS (FIN-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Andrus ANSIP (EST-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Jana TOOM (EST-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Luděk NIEDERMAYER (CZE-EPP)",1
"Charles GOERENS (LUX-RENEW)","Petras AUŠTREVIČIUS (LTU-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Jens GIESEKE (DEU-EPP)",1
"Charles GOERENS (LUX-RENEW)","Deirdre CLUNE (IRL-EPP)",1
"Charles GOERENS (LUX-RENEW)","Javier NART (ESP-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Maite PAGAZAURTUNDÚA (ESP-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Inma RODRÍGUEZ-PIÑERO (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Clara AGUILERA (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Jordi CAÑAS (ESP-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Urmas PAET (EST-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Hilde VAUTMANS (BEL-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Elsi KATAINEN (FIN-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Karin KARLSBRO (SWE-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Hildegard BENTELE (DEU-EPP)",1
"Charles GOERENS (LUX-RENEW)","Niclas HERBST (DEU-EPP)",1
"Charles GOERENS (LUX-RENEW)","Monica SEMEDO (LUX-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Marion WALSMANN (DEU-EPP)",1
"Charles GOERENS (LUX-RENEW)","Cindy FRANSSEN (BEL-EPP)",1
