"from","to","weight"
"Constanze KREHL (DEU-SD)","Pierfrancesco MAJORINO (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Manuel PIZARRO (PRT-SD)",1
"Carlos COELHO (PRT-EPP)","Thomas RUDNER (DEU-SD)",1
"Carlos COELHO (PRT-EPP)","Anja HAGA (NLD-EPP)",1
"Carlos COELHO (PRT-EPP)","Laura BALLARÍN CEREZA (ESP-SD)",1
"Carlos COELHO (PRT-EPP)","Ana COLLADO JIMÉNEZ (ESP-EPP)",1
"Carlos COELHO (PRT-EPP)","Laurence SAILLIET (FRA-EPP)",1
"Carlos COELHO (PRT-EPP)","Martine KEMP (LUX-EPP)",1
"Carlos COELHO (PRT-EPP)","Witold PAHL (POL-EPP)",1
"Carlos COELHO (PRT-EPP)","Włodzimierz KARPIŃSKI (POL-EPP)",1
"Carlos COELHO (PRT-EPP)","Michael KAUCH (DEU-RENEW)",1
"Carlos COELHO (PRT-EPP)","Krzysztof BREJZA (POL-EPP)",1
"Carlos COELHO (PRT-EPP)","Niels GEUKING (DEU-EPP)",1
"Evelyne GEBHARDT (DEU-SD)","Johan DANIELSSON (SWE-SD)",1
"Evelyne GEBHARDT (DEU-SD)","Norbert NEUSER (DEU-SD)",1
"Evelyne GEBHARDT (DEU-SD)","Miroslav ČÍŽ (SVK-SD)",1
"Sergio BERLATO (ITA-ECR)","Carlo FIDANZA (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Vincenzo SOFO (ITA-ECR)",1
"Adam BIELAN (POL-ECR)","Ryszard CZARNECKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Tomasz Piotr PORĘBA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Jadwiga WIŚNIEWSKA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Zdzisław KRASNODĘBSKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Geert BOURGEOIS (BEL-ECR)",1
"Adam BIELAN (POL-ECR)","Patryk JAKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Beata KEMPA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Beata MAZUREK (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Andżelika Anna MOŻDŻANOWSKA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Elżbieta RAFALSKA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Bogdan RZOŃCA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Grzegorz TOBISZOWSKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Dominik TARCZYŃSKI (POL-ECR)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Dimitrios PAPADIMOULIS (GRC-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Younous OMARJEE (FRA-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Manon AUBRY (FRA-GUE_NGL)",1
"Edina TÓTH (HUN-NI)","Enikő GYŐRI (HUN-NI)",1
"Edina TÓTH (HUN-NI)","Balázs HIDVÉGHI (HUN-NI)",1
"Edina TÓTH (HUN-NI)","Andor DELI (HUN-NI)",1
"Kinga GÁL (HUN-NI)","Ernő SCHALLER-BAROSS (HUN-NI)",1
"Jacek SARYUSZ-WOLSKI (POL-ECR)","Geert BOURGEOIS (BEL-ECR)",1
"Mercedes BRESSO (ITA-SD)","Matteo GAZZINI (ITA-ID)",1
"Ryszard CZARNECKI (POL-ECR)","Tomasz Piotr PORĘBA (POL-ECR)",1
"Ryszard CZARNECKI (POL-ECR)","Jadwiga WIŚNIEWSKA (POL-ECR)",1
"Ryszard CZARNECKI (POL-ECR)","Kosma ZŁOTOWSKI (POL-ECR)",1
"Ryszard CZARNECKI (POL-ECR)","Zdzisław KRASNODĘBSKI (POL-ECR)",1
"Ryszard CZARNECKI (POL-ECR)","Johan VAN OVERTVELDT (BEL-ECR)",1
"Ryszard CZARNECKI (POL-ECR)","Assita KANKO (BEL-ECR)",1
"Ryszard CZARNECKI (POL-ECR)","Patryk JAKI (POL-ECR)",1
"Ryszard CZARNECKI (POL-ECR)","Beata KEMPA (POL-ECR)",1
"Ryszard CZARNECKI (POL-ECR)","Izabela-Helena KLOC (POL-ECR)",1
"Ryszard CZARNECKI (POL-ECR)","Joanna KOPCIŃSKA (POL-ECR)",1
"Ryszard CZARNECKI (POL-ECR)","Beata MAZUREK (POL-ECR)",1
"Ryszard CZARNECKI (POL-ECR)","Andżelika Anna MOŻDŻANOWSKA (POL-ECR)",1
"Ryszard CZARNECKI (POL-ECR)","Elżbieta RAFALSKA (POL-ECR)",1
"Ryszard CZARNECKI (POL-ECR)","Bogdan RZOŃCA (POL-ECR)",1
"Ryszard CZARNECKI (POL-ECR)","Grzegorz TOBISZOWSKI (POL-ECR)",1
"Ryszard CZARNECKI (POL-ECR)","Witold Jan WASZCZYKOWSKI (POL-ECR)",1
"Ryszard CZARNECKI (POL-ECR)","Anna ZALEWSKA (POL-ECR)",1
"Ryszard CZARNECKI (POL-ECR)","Dominik TARCZYŃSKI (POL-ECR)",1
"Dimitrios PAPADIMOULIS (GRC-GUE_NGL)","Younous OMARJEE (FRA-GUE_NGL)",1
"Dimitrios PAPADIMOULIS (GRC-GUE_NGL)","Manon AUBRY (FRA-GUE_NGL)",1
"Younous OMARJEE (FRA-GUE_NGL)","Manon AUBRY (FRA-GUE_NGL)",1
"Marco CAMPOMENOSI (ITA-ID)","Alessandro PANZA (ITA-ID)",1
"Marco CAMPOMENOSI (ITA-ID)","Paolo BORCHIA (ITA-ID)",1
"Marco CAMPOMENOSI (ITA-ID)","Marco ZANNI (ITA-ID)",1
"Marco CAMPOMENOSI (ITA-ID)","Angelo CIOCCA (ITA-ID)",1
"Marco CAMPOMENOSI (ITA-ID)","Danilo Oscar LANCINI (ITA-ID)",1
"Marco CAMPOMENOSI (ITA-ID)","Silvia SARDONE (ITA-ID)",1
"Marco CAMPOMENOSI (ITA-ID)","Gianna GANCIA (ITA-ID)",1
"Marco CAMPOMENOSI (ITA-ID)","Gianantonio DA RE (ITA-ID)",1
"Marco CAMPOMENOSI (ITA-ID)","Alessandra BASSO (ITA-ID)",1
"Marco CAMPOMENOSI (ITA-ID)","Elena LIZZI (ITA-ID)",1
"Marco CAMPOMENOSI (ITA-ID)","Rosanna CONTE (ITA-ID)",1
"Marco CAMPOMENOSI (ITA-ID)","Susanna CECCARDI (ITA-ID)",1
"Marco CAMPOMENOSI (ITA-ID)","Antonio Maria RINALDI (ITA-ID)",1
"Marco CAMPOMENOSI (ITA-ID)","Anna BONFRISCO (ITA-ID)",1
"Marco CAMPOMENOSI (ITA-ID)","Valentino GRANT (ITA-ID)",1
"Marco CAMPOMENOSI (ITA-ID)","Annalisa TARDINO (ITA-ID)",1
"Georg MAYER (AUT-ID)","Catherine GRISET (FRA-ID)",1
"Georg MAYER (AUT-ID)","Harald VILIMSKY (AUT-ID)",1
"Georg MAYER (AUT-ID)","Jérôme RIVIÈRE (FRA-ID)",1
"Georg MAYER (AUT-ID)","Virginie JORON (FRA-ID)",1
"Georg MAYER (AUT-ID)","Aurélia BEIGNEUX (FRA-ID)",1
"Georg MAYER (AUT-ID)","Philippe OLIVIER (FRA-ID)",1
