Source,Target
2,543
2,657
3,845
3,847
3,848
3,849
3,850
3,853
3,855
3,856
3,861
3,862
3,864
5,93
5,150
5,681
29,140
29,782
38,68
38,137
38,270
38,273
38,436
38,476
38,479
38,497
38,500
38,503
38,504
38,518
38,785
42,75
42,80
42,492
47,146
47,205
47,219
51,806
62,436
65,831
68,137
68,270
68,271
68,273
68,316
68,438
68,476
68,479
68,480
68,489
68,497
68,500
68,503
68,504
68,518
68,521
68,525
68,785
75,80
75,492
80,492
85,180
85,183
85,235
85,342
85,364
85,530
85,534
85,557
85,558
85,559
85,564
85,702
85,703
85,704
85,714
85,721
92,103
92,294
92,563
92,574
92,617
92,623
92,768
93,150
103,225
103,232
103,286
103,346
103,352
103,441
103,563
103,570
103,573
103,574
103,575
103,617
103,623
103,624
103,625
103,795
105,202
116,496
116,511
136,316
136,438
136,525
137,270
137,271
137,273
137,316
137,438
137,476
137,479
137,480
137,489
137,497
137,500
137,503
137,504
137,518
137,521
137,525
137,785
140,738
143,488
144,217
146,205
146,219
150,681
175,562
175,705
175,711
175,739
180,183
180,235
180,342
180,364
180,530
180,534
180,557
180,558
180,559
180,564
180,702
180,703
180,704
180,714
180,721
183,364
183,530
183,534
183,557
183,558
183,559
183,564
183,703
183,721
202,656
202,732
205,764
225,228
225,232
225,286
225,335
225,346
225,352
225,441
225,563
225,570
225,573
225,574
225,575
225,617
225,623
225,624
225,625
225,795
228,232
228,286
228,335
228,346
228,352
228,441
228,448
228,449
228,450
228,570
228,573
228,575
228,624
228,625
228,795
232,286
232,335
232,346
232,352
232,441
232,563
232,570
232,573
232,574
232,575
232,617
232,623
232,624
232,625
232,795
233,252
233,567
235,364
235,530
235,534
235,557
235,558
235,559
235,564
235,703
235,721
252,567
270,273
270,436
270,476
270,479
270,497
270,500
270,503
270,504
270,518
270,785
271,273
271,476
271,480
271,497
271,500
271,503
271,504
271,518
273,316
273,438
273,476
273,479
273,480
273,489
273,497
273,500
273,503
273,504
273,518
273,521
273,525
273,785
274,507
286,335
286,346
286,352
286,441
286,563
286,570
286,573
286,574
286,575
286,617
286,623
286,624
286,625
286,795
287,488
294,448
294,449
294,450
294,768
302,494
316,436
316,438
316,476
316,497
316,500
316,503
316,504
316,518
316,525
335,346
335,352
335,441
335,448
335,449
335,450
335,570
335,573
335,575
335,624
335,625
335,795
342,364
342,530
342,534
342,557
342,558
342,559
342,564
342,703
342,721
346,352
346,441
346,563
346,570
346,573
346,574
346,575
346,617
346,623
346,624
346,625
346,795
352,441
352,563
352,570
352,573
352,574
352,575
352,617
352,623
352,624
352,625
352,795
364,530
364,534
364,557
364,558
364,559
364,564
364,702
364,703
364,704
364,714
364,721
394,606
436,438
436,479
436,525
436,785
438,476
438,497
438,500
438,503
438,504
438,518
438,525
441,563
441,570
441,573
441,574
441,575
441,617
441,623
441,624
441,625
441,795
448,449
448,450
448,768
449,450
449,768
450,768
460,513
460,565
462,512
476,479
476,480
476,489
476,497
476,500
476,503
476,504
476,518
476,521
476,525
476,785
479,497
479,500
479,503
479,504
479,518
479,785
480,497
480,500
480,503
480,504
480,518
486,488
489,497
489,500
489,503
489,504
489,518
496,511
497,500
497,503
497,504
497,518
497,521
497,525
497,785
500,503
500,504
500,518
500,521
500,525
500,785
503,504
503,518
503,521
503,525
503,785
504,518
504,521
504,525
504,785
513,565
518,521
518,525
518,785
530,534
530,557
530,558
530,559
530,564
530,702
530,703
530,704
530,714
530,721
534,557
534,558
534,559
534,564
534,702
534,703
534,704
534,714
534,721
543,657
548,622
557,558
557,559
557,564
557,702
557,703
557,704
557,714
557,721
558,559
558,564
558,702
558,703
558,704
558,714
558,721
559,564
559,702
559,703
559,704
559,714
559,721
562,705
562,711
562,739
563,570
563,573
563,574
563,575
563,617
563,623
563,624
563,625
563,795
564,702
564,703
564,704
564,714
564,721
570,573
570,574
570,575
570,617
570,623
570,624
570,625
570,795
573,574
573,575
573,617
573,623
573,624
573,625
573,795
574,575
574,617
574,623
574,624
574,625
574,795
575,617
575,623
575,624
575,625
575,795
617,623
617,624
617,625
617,795
623,624
623,625
623,795
624,625
624,795
625,795
656,732
702,703
702,704
702,714
702,721
703,704
703,714
703,721
704,714
704,721
705,711
705,739
706,712
714,721
742,767
742,790
743,790
812,816
819,820
825,830
825,833
825,840
826,827
828,839
833,840
843,845
843,848
845,848
845,853
845,854
845,855
845,856
845,863
847,849
847,850
847,853
847,855
847,856
847,861
847,863
847,864
847,865
848,853
848,854
848,855
848,856
848,863
849,850
849,853
849,855
849,856
849,861
849,863
849,864
849,865
850,853
850,855
850,856
850,861
850,863
850,864
850,865
852,862
853,855
853,856
853,861
853,862
853,864
855,856
855,861
855,862
855,864
856,861
856,862
856,864
861,863
861,864
861,865
863,864
864,865
868,869
868,870
868,871
868,872
869,870
869,871
869,872
870,871
870,872
871,872
