Id,Label,group_code
2,SD,SD
3,EPP,EPP
5,SD,SD
29,ECR,ECR
38,ECR,ECR
42,GUE_NGL,GUE_NGL
47,NI,NI
51,NI,NI
62,ECR,ECR
65,SD,SD
68,ECR,ECR
75,GUE_NGL,GUE_NGL
80,GUE_NGL,GUE_NGL
85,ID,ID
92,ID,ID
93,SD,SD
103,ID,ID
105,GUE_NGL,GUE_NGL
116,ECR,ECR
136,ECR,ECR
137,ECR,ECR
140,ECR,ECR
143,GUE_NGL,GUE_NGL
144,NI,NI
146,NI,NI
150,SD,SD
175,ID,ID
180,ID,ID
183,ID,ID
202,GUE_NGL,GUE_NGL
205,NI,NI
217,NI,NI
219,NI,NI
225,ID,ID
228,ID,ID
232,ID,ID
233,NI,NI
235,ID,ID
252,NI,NI
270,ECR,ECR
271,ECR,ECR
273,ECR,ECR
274,EPP,EPP
286,ID,ID
287,GUE_NGL,GUE_NGL
294,ID,ID
302,EPP,EPP
316,ECR,ECR
335,ID,ID
342,ID,ID
346,ID,ID
352,ID,ID
364,ID,ID
394,EPP,EPP
436,ECR,ECR
438,ECR,ECR
441,ID,ID
448,ID,ID
449,ID,ID
450,ID,ID
460,RENEW,RENEW
462,ECR,ECR
476,ECR,ECR
479,ECR,ECR
480,ECR,ECR
486,GUE_NGL,GUE_NGL
488,GUE_NGL,GUE_NGL
489,ECR,ECR
492,GUE_NGL,GUE_NGL
494,EPP,EPP
496,ECR,ECR
497,ECR,ECR
500,ECR,ECR
503,ECR,ECR
504,ECR,ECR
507,EPP,EPP
511,ECR,ECR
512,ECR,ECR
513,RENEW,RENEW
518,ECR,ECR
521,ECR,ECR
525,ECR,ECR
530,ID,ID
534,ID,ID
543,SD,SD
548,ID,ID
557,ID,ID
558,ID,ID
559,ID,ID
562,ID,ID
563,ID,ID
564,ID,ID
565,SD,SD
567,NI,NI
570,ID,ID
573,ID,ID
574,ID,ID
575,ID,ID
606,RENEW,RENEW
617,ID,ID
622,ID,ID
623,ID,ID
624,ID,ID
625,ID,ID
656,GUE_NGL,GUE_NGL
657,SD,SD
681,SD,SD
702,ID,ID
703,ID,ID
704,ID,ID
705,ID,ID
706,ID,ID
711,ID,ID
712,EPP,EPP
714,ID,ID
721,ID,ID
732,GUE_NGL,GUE_NGL
738,ECR,ECR
739,ID,ID
742,ECR,ECR
743,ECR,ECR
764,NI,NI
767,ECR,ECR
768,ID,ID
782,ECR,ECR
785,ECR,ECR
790,ECR,ECR
795,ID,ID
806,NI,NI
812,SD,SD
816,SD,SD
819,SD,SD
820,RENEW,RENEW
825,SD,SD
826,RENEW,RENEW
827,SD,SD
828,SD,SD
830,SD,SD
831,ID,ID
833,SD,SD
839,RENEW,RENEW
840,SD,SD
843,SD,SD
845,SD,SD
847,EPP,EPP
848,SD,SD
849,EPP,EPP
850,EPP,EPP
852,EPP,EPP
853,EPP,EPP
854,RENEW,RENEW
855,EPP,EPP
856,EPP,EPP
861,RENEW,RENEW
862,EPP,EPP
863,RENEW,RENEW
864,EPP,EPP
865,SD,SD
868,EPP,EPP
869,EPP,EPP
870,EPP,EPP
871,EPP,EPP
872,EPP,EPP
