"from","to","weight"
"Charles GOERENS (LUX-RENEW)","Sophia IN 'T VELD (NLD-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Nils TORVALDS (FIN-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Petras AUŠTREVIČIUS (LTU-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Nicola DANTI (ITA-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Marie-Pierre VEDRENNE (FRA-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Nacho SÁNCHEZ AMOR (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Marc ANGEL (LUX-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Richard CORBETT (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Geoffrey VAN ORDEN (GBR-ECR)",1
"Bill NEWTON DUNN (GBR-RENEW)","Claude MORAES (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Neena GILL (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Jill EVANS (GBR-GREEN_EFA)",1
"Bill NEWTON DUNN (GBR-RENEW)","Chris DAVIES (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Daniel HANNAN (GBR-ECR)",1
"Bill NEWTON DUNN (GBR-RENEW)","József SZÁJER (HUN-EPP)",1
"Bill NEWTON DUNN (GBR-RENEW)","Mairead McGUINNESS (IRL-EPP)",1
"Bill NEWTON DUNN (GBR-RENEW)","Aileen McLEOD (GBR-GREEN_EFA)",1
"Bill NEWTON DUNN (GBR-RENEW)","Kati PIRI (NLD-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Adina-Ioana VĂLEAN (ROU-EPP)",1
"Bill NEWTON DUNN (GBR-RENEW)","Johan DANIELSSON (SWE-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Roberto GUALTIERI (ITA-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Diane DODDS (GBR-NI)",1
"Bill NEWTON DUNN (GBR-RENEW)","Catherine BEARDER (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Derk Jan EPPINK (NLD-ECR)",1
"Bill NEWTON DUNN (GBR-RENEW)","Alexandra Lesley PHILLIPS (GBR-NI)",1
"Bill NEWTON DUNN (GBR-RENEW)","Anthea McINTYRE (GBR-ECR)",1
"Bill NEWTON DUNN (GBR-RENEW)","Phil BENNION (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Ruža TOMAŠIĆ (HRV-ECR)",1
"Bill NEWTON DUNN (GBR-RENEW)","Dubravka ŠUICA (HRV-EPP)",1
"Bill NEWTON DUNN (GBR-RENEW)","Sven SCHULZE (DEU-EPP)",1
"Bill NEWTON DUNN (GBR-RENEW)","Klaus BUCHNER (DEU-GREEN_EFA)",1
"Bill NEWTON DUNN (GBR-RENEW)","Molly SCOTT CATO (GBR-GREEN_EFA)",1
"Bill NEWTON DUNN (GBR-RENEW)","Seb DANCE (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Jude KIRTON-DARLING (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Theresa GRIFFIN (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Julie WARD (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Nathan GILL (GBR-NI)",1
"Bill NEWTON DUNN (GBR-RENEW)","Miriam DALLI (MLT-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Fredrick FEDERLEY (SWE-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","John HOWARTH (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Baroness Nosheena MOBARIK (GBR-ECR)",1
"Bill NEWTON DUNN (GBR-RENEW)","Rory PALMER (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Kris PEETERS (BEL-EPP)",1
"Bill NEWTON DUNN (GBR-RENEW)","Nicolas SCHMIT (LUX-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Petra DE SUTTER (BEL-GREEN_EFA)",1
"Bill NEWTON DUNN (GBR-RENEW)","Chrysoula ZACHAROPOULOU (FRA-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Søren GADE (DNK-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Barbara Ann GIBSON (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Catherine ROWETT (GBR-GREEN_EFA)",1
"Bill NEWTON DUNN (GBR-RENEW)","June Alison MUMMERY (GBR-NI)",1
"Bill NEWTON DUNN (GBR-RENEW)","Lucy NETHSINGHA (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Gina DOWDING (GBR-GREEN_EFA)",1
"Bill NEWTON DUNN (GBR-RENEW)","Matthew PATTEN (GBR-NI)",1
"Bill NEWTON DUNN (GBR-RENEW)","Irina VON WIESE (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Karoline EDTSTADLER (AUT-EPP)",1
"Bill NEWTON DUNN (GBR-RENEW)","Christian ALLARD (GBR-GREEN_EFA)",1
"Bill NEWTON DUNN (GBR-RENEW)","Cristian GHINEA (ROU-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Clotilde ARMAND (ROU-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Dinesh DHAMIJA (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Luisa PORRITT (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Brian MONTEITH (GBR-NI)",1
"Bill NEWTON DUNN (GBR-RENEW)","Claire FOX (GBR-NI)",1
"Bill NEWTON DUNN (GBR-RENEW)","Alexandra Louise Rosenfield PHILLIPS (GBR-GREEN_EFA)",1
"Bill NEWTON DUNN (GBR-RENEW)","Henrik OVERGAARD NIELSEN (GBR-NI)",1
"Bill NEWTON DUNN (GBR-RENEW)","Ellie CHOWNS (GBR-GREEN_EFA)",1
"Bill NEWTON DUNN (GBR-RENEW)","Jane BROPHY (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Antony HOOK (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Ioannis LAGOS (GRC-NI)",1
"Bill NEWTON DUNN (GBR-RENEW)","Judith BUNTING (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Ann WIDDECOMBE (GBR-NI)",1
"Bill NEWTON DUNN (GBR-RENEW)","Caroline VOADEN (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Martin HORWOOD (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","James WELLS (GBR-NI)",1
"Bill NEWTON DUNN (GBR-RENEW)","Jackie JONES (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Shaffaq MOHAMMED (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Magid MAGID (GBR-GREEN_EFA)",1
"Bill NEWTON DUNN (GBR-RENEW)","Jake PUGH (GBR-NI)",1
"Bill NEWTON DUNN (GBR-RENEW)","Sheila RITCHIE (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Naomi LONG (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Liesje SCHREINEMACHER (NLD-RENEW)",1
"Constanze KREHL (DEU-SD)","Evelyne GEBHARDT (DEU-SD)",1
"Constanze KREHL (DEU-SD)","Antonio TAJANI (ITA-EPP)",1
"Constanze KREHL (DEU-SD)","Silvio BERLUSCONI (ITA-EPP)",1
"Constanze KREHL (DEU-SD)","Raffaele FITTO (ITA-ECR)",1
"Constanze KREHL (DEU-SD)","Monika BEŇOVÁ (SVK-SD)",1
"Constanze KREHL (DEU-SD)","Lefteris CHRISTOFOROU (CYP-EPP)",1
"Constanze KREHL (DEU-SD)","Tatjana ŽDANOKA (LVA-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Corina CREȚU (ROU-SD)",1
"Constanze KREHL (DEU-SD)","Aldo PATRICIELLO (ITA-EPP)",1
"Constanze KREHL (DEU-SD)","Kati PIRI (NLD-SD)",1
"Constanze KREHL (DEU-SD)","Johan DANIELSSON (SWE-SD)",1
"Constanze KREHL (DEU-SD)","Rovana PLUMB (ROU-SD)",1
"Constanze KREHL (DEU-SD)","Nicolae ŞTEFĂNUȚĂ (ROU-RENEW)",1
"Constanze KREHL (DEU-SD)","Victor NEGRESCU (ROU-SD)",1
"Constanze KREHL (DEU-SD)","Viktor USPASKICH (LTU-NI)",1
"Constanze KREHL (DEU-SD)","Sven GIEGOLD (DEU-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Yannick JADOT (FRA-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Michèle RIVASI (FRA-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Petra KAMMEREVERT (DEU-SD)",1
"Constanze KREHL (DEU-SD)","Ismail ERTUG (DEU-SD)",1
"Constanze KREHL (DEU-SD)","Norbert NEUSER (DEU-SD)",1
"Constanze KREHL (DEU-SD)","Andrea COZZOLINO (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Tanja FAJON (SVN-SD)",1
"Constanze KREHL (DEU-SD)","Mara BIZZOTTO (ITA-ID)",1
"Constanze KREHL (DEU-SD)","Eva MAYDELL (BGR-EPP)",1
"Constanze KREHL (DEU-SD)","Michal ŠIMEČKA (SVK-RENEW)",1
"Constanze KREHL (DEU-SD)","Eric ANDRIEU (FRA-SD)",1
"Constanze KREHL (DEU-SD)","Roberta METSOLA (MLT-EPP)",1
"Constanze KREHL (DEU-SD)","Ruža TOMAŠIĆ (HRV-ECR)",1
"Constanze KREHL (DEU-SD)","Costas MAVRIDES (CYP-SD)",1
"Constanze KREHL (DEU-SD)","Cláudia MONTEIRO DE AGUIAR (PRT-EPP)",1
"Constanze KREHL (DEU-SD)","Joëlle MÉLIN (FRA-ID)",1
"Constanze KREHL (DEU-SD)","Eleonora EVI (ITA-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Dan NICA (ROU-SD)",1
"Constanze KREHL (DEU-SD)","Sven SCHULZE (DEU-EPP)",1
"Constanze KREHL (DEU-SD)","Simona BONAFÈ (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Fulvio MARTUSCIELLO (ITA-EPP)",1
"Constanze KREHL (DEU-SD)","Sergei STANISHEV (BGR-SD)",1
"Constanze KREHL (DEU-SD)","Krzysztof HETMAN (POL-EPP)",1
"Constanze KREHL (DEU-SD)","Ernest URTASUN (ESP-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Jytte GUTELAND (SWE-SD)",1
"Constanze KREHL (DEU-SD)","Esteban GONZÁLEZ PONS (ESP-EPP)",1
"Constanze KREHL (DEU-SD)","Annie SCHREIJER-PIERIK (NLD-EPP)",1
"Constanze KREHL (DEU-SD)","Theodoros ZAGORAKIS (GRC-EPP)",1
"Constanze KREHL (DEU-SD)","Nikos ANDROULAKIS (GRC-SD)",1
"Constanze KREHL (DEU-SD)","Marco ZULLO (ITA-RENEW)",1
"Constanze KREHL (DEU-SD)","Angelo CIOCCA (ITA-ID)",1
"Constanze KREHL (DEU-SD)","Giuseppe FERRANDINO (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Christophe HANSEN (LUX-EPP)",1
"Constanze KREHL (DEU-SD)","Erik BERGKVIST (SWE-SD)",1
"Constanze KREHL (DEU-SD)","Jessica STEGRUD (SWE-ECR)",1
"Constanze KREHL (DEU-SD)","Loucas FOURLAS (CYP-EPP)",1
"Constanze KREHL (DEU-SD)","Katarina BARLEY (DEU-SD)",1
"Constanze KREHL (DEU-SD)","Nicola BEER (DEU-RENEW)",1
"Constanze KREHL (DEU-SD)","Bartosz ARŁUKOWICZ (POL-EPP)",1
"Constanze KREHL (DEU-SD)","Marek BELKA (POL-SD)",1
"Constanze KREHL (DEU-SD)","Chrysoula ZACHAROPOULOU (FRA-RENEW)",1
"Constanze KREHL (DEU-SD)","Stéphane SÉJOURNÉ (FRA-RENEW)",1
"Constanze KREHL (DEU-SD)","Manuel BOMPARD (FRA-GUE_NGL)",1
"Constanze KREHL (DEU-SD)","Agnès EVREN (FRA-EPP)",1
"Constanze KREHL (DEU-SD)","Radosław SIKORSKI (POL-EPP)",1
"Constanze KREHL (DEU-SD)","Luis GARICANO (ESP-RENEW)",1
"Constanze KREHL (DEU-SD)","Søren GADE (DNK-RENEW)",1
"Constanze KREHL (DEU-SD)","Peter KOFOD (DNK-ID)",1
"Constanze KREHL (DEU-SD)","Sylvie BRUNET (FRA-RENEW)",1
"Constanze KREHL (DEU-SD)","Pierfrancesco MAJORINO (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Véronique TRILLET-LENOIR (FRA-RENEW)",1
"Constanze KREHL (DEU-SD)","Anna Júlia DONÁTH (HUN-RENEW)",1
"Constanze KREHL (DEU-SD)","Marco DREOSTO (ITA-ID)",1
"Constanze KREHL (DEU-SD)","Carlo CALENDA (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Simone SCHMIEDTBAUER (AUT-EPP)",1
"Constanze KREHL (DEU-SD)","Bettina VOLLATH (AUT-SD)",1
"Constanze KREHL (DEU-SD)","Pernando BARRENA ARZA (ESP-GUE_NGL)",1
"Constanze KREHL (DEU-SD)","Stelios KYMPOUROPOULOS (GRC-EPP)",1
"Constanze KREHL (DEU-SD)","Manuel PIZARRO (PRT-SD)",1
"Constanze KREHL (DEU-SD)","Adriana MALDONADO LÓPEZ (ESP-SD)",1
"Constanze KREHL (DEU-SD)","Álvaro AMARO (PRT-EPP)",1
"Constanze KREHL (DEU-SD)","Miroslav ČÍŽ (SVK-SD)",1
"Constanze KREHL (DEU-SD)","Simona BALDASSARRE (ITA-ID)",1
"Constanze KREHL (DEU-SD)","Luisa REGIMENTI (ITA-ID)",1
"Constanze KREHL (DEU-SD)","Massimiliano SMERIGLIO (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Massimo CASANOVA (ITA-ID)",1
"Constanze KREHL (DEU-SD)","Andrea CAROPPO (ITA-EPP)",1
"Constanze KREHL (DEU-SD)","Franco ROBERTI (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Elena YONCHEVA (BGR-SD)",1
"Constanze KREHL (DEU-SD)","Tsvetelina PENKOVA (BGR-SD)",1
"Constanze KREHL (DEU-SD)","Liesje SCHREINEMACHER (NLD-RENEW)",1
"Constanze KREHL (DEU-SD)","László TRÓCSÁNYI (HUN-NI)",1
"Constanze KREHL (DEU-SD)","Estrella DURÁ FERRANDIS (ESP-SD)",1
"Constanze KREHL (DEU-SD)","Linea SØGAARD-LIDELL (DNK-RENEW)",1
"Carlos COELHO (PRT-EPP)","Ana MIRANDA (ESP-GREEN_EFA)",1
"Carlos COELHO (PRT-EPP)","Mercedes BRESSO (ITA-SD)",1
"Carlos COELHO (PRT-EPP)","Alessandra MUSSOLINI (ITA-EPP)",1
"Carlos COELHO (PRT-EPP)","Katarína ROTH NEVEĎALOVÁ (SVK-SD)",1
"Carlos COELHO (PRT-EPP)","Pirkko RUOHONEN-LERNER (FIN-ECR)",1
