Id,Label,group_code
6,EPP,EPP
7,EPP,EPP
8,EPP,EPP
9,GREEN_EFA,GREEN_EFA
12,EPP,EPP
13,EPP,EPP
15,RENEW,RENEW
16,SD,SD
17,EPP,EPP
28,EPP,EPP
29,ECR,ECR
30,SD,SD
31,EPP,EPP
32,SD,SD
34,GUE_NGL,GUE_NGL
35,ECR,ECR
37,EPP,EPP
38,ECR,ECR
41,SD,SD
42,GUE_NGL,GUE_NGL
43,EPP,EPP
46,EPP,EPP
49,EPP,EPP
52,GREEN_EFA,GREEN_EFA
53,EPP,EPP
54,EPP,EPP
55,EPP,EPP
56,EPP,EPP
57,EPP,EPP
59,EPP,EPP
60,EPP,EPP
61,EPP,EPP
62,ECR,ECR
63,SD,SD
64,SD,SD
66,SD,SD
67,ECR,ECR
68,ECR,ECR
69,ECR,ECR
71,EPP,EPP
72,EPP,EPP
75,GUE_NGL,GUE_NGL
76,ECR,ECR
77,EPP,EPP
78,GREEN_EFA,GREEN_EFA
79,SD,SD
80,GUE_NGL,GUE_NGL
82,EPP,EPP
83,SD,SD
84,SD,SD
85,ID,ID
90,EPP,EPP
91,EPP,EPP
92,ID,ID
94,SD,SD
95,EPP,EPP
97,RENEW,RENEW
99,EPP,EPP
100,GREEN_EFA,GREEN_EFA
101,GUE_NGL,GUE_NGL
102,SD,SD
103,ID,ID
104,EPP,EPP
105,GUE_NGL,GUE_NGL
106,GREEN_EFA,GREEN_EFA
108,EPP,EPP
110,ECR,ECR
116,ECR,ECR
117,GREEN_EFA,GREEN_EFA
119,GREEN_EFA,GREEN_EFA
120,GREEN_EFA,GREEN_EFA
121,GREEN_EFA,GREEN_EFA
122,GREEN_EFA,GREEN_EFA
123,EPP,EPP
124,GREEN_EFA,GREEN_EFA
125,GREEN_EFA,GREEN_EFA
126,EPP,EPP
127,EPP,EPP
128,EPP,EPP
129,EPP,EPP
133,EPP,EPP
134,EPP,EPP
135,EPP,EPP
136,ECR,ECR
137,ECR,ECR
138,EPP,EPP
139,EPP,EPP
140,ECR,ECR
141,EPP,EPP
142,SD,SD
143,GUE_NGL,GUE_NGL
148,SD,SD
149,SD,SD
151,GUE_NGL,GUE_NGL
153,EPP,EPP
154,GREEN_EFA,GREEN_EFA
155,SD,SD
157,SD,SD
159,EPP,EPP
160,EPP,EPP
163,SD,SD
164,EPP,EPP
165,EPP,EPP
166,EPP,EPP
168,SD,SD
170,EPP,EPP
171,SD,SD
172,SD,SD
175,ID,ID
176,GREEN_EFA,GREEN_EFA
177,EPP,EPP
178,EPP,EPP
179,EPP,EPP
180,ID,ID
182,EPP,EPP
183,ID,ID
185,GREEN_EFA,GREEN_EFA
186,RENEW,RENEW
187,GREEN_EFA,GREEN_EFA
188,EPP,EPP
194,SD,SD
195,SD,SD
199,RENEW,RENEW
202,GUE_NGL,GUE_NGL
203,SD,SD
204,ECR,ECR
206,SD,SD
207,SD,SD
208,RENEW,RENEW
212,EPP,EPP
214,RENEW,RENEW
215,RENEW,RENEW
216,EPP,EPP
218,EPP,EPP
220,EPP,EPP
221,SD,SD
222,EPP,EPP
223,EPP,EPP
225,ID,ID
226,SD,SD
228,ID,ID
231,ID,ID
232,ID,ID
234,GREEN_EFA,GREEN_EFA
235,ID,ID
237,SD,SD
238,SD,SD
239,SD,SD
240,EPP,EPP
241,EPP,EPP
242,EPP,EPP
243,EPP,EPP
246,SD,SD
250,EPP,EPP
251,EPP,EPP
254,GREEN_EFA,GREEN_EFA
255,SD,SD
256,SD,SD
257,GREEN_EFA,GREEN_EFA
258,SD,SD
259,EPP,EPP
260,SD,SD
261,GREEN_EFA,GREEN_EFA
262,SD,SD
265,SD,SD
267,RENEW,RENEW
268,ECR,ECR
270,ECR,ECR
271,ECR,ECR
272,ECR,ECR
273,ECR,ECR
274,EPP,EPP
275,EPP,EPP
276,GREEN_EFA,GREEN_EFA
277,SD,SD
285,GREEN_EFA,GREEN_EFA
286,ID,ID
287,GUE_NGL,GUE_NGL
289,EPP,EPP
291,SD,SD
292,GUE_NGL,GUE_NGL
293,ECR,ECR
294,ID,ID
295,EPP,EPP
297,EPP,EPP
298,SD,SD
299,SD,SD
300,GUE_NGL,GUE_NGL
302,EPP,EPP
303,EPP,EPP
310,EPP,EPP
311,EPP,EPP
312,EPP,EPP
313,EPP,EPP
315,EPP,EPP
316,ECR,ECR
317,SD,SD
320,GREEN_EFA,GREEN_EFA
321,RENEW,RENEW
322,EPP,EPP
323,EPP,EPP
326,ID,ID
329,EPP,EPP
331,ECR,ECR
332,GUE_NGL,GUE_NGL
333,GUE_NGL,GUE_NGL
334,ID,ID
335,ID,ID
337,RENEW,RENEW
339,GUE_NGL,GUE_NGL
340,ID,ID
341,GREEN_EFA,GREEN_EFA
342,ID,ID
343,GREEN_EFA,GREEN_EFA
344,EPP,EPP
345,SD,SD
346,ID,ID
347,GREEN_EFA,GREEN_EFA
348,GUE_NGL,GUE_NGL
351,EPP,EPP
352,ID,ID
354,EPP,EPP
356,GREEN_EFA,GREEN_EFA
357,GUE_NGL,GUE_NGL
358,ID,ID
360,EPP,EPP
361,EPP,EPP
363,SD,SD
364,ID,ID
365,GREEN_EFA,GREEN_EFA
366,GREEN_EFA,GREEN_EFA
367,EPP,EPP
369,SD,SD
370,SD,SD
371,EPP,EPP
372,SD,SD
373,GREEN_EFA,GREEN_EFA
374,SD,SD
375,GREEN_EFA,GREEN_EFA
379,EPP,EPP
380,SD,SD
381,EPP,EPP
382,EPP,EPP
383,EPP,EPP
384,EPP,EPP
385,EPP,EPP
386,EPP,EPP
387,EPP,EPP
388,EPP,EPP
389,GUE_NGL,GUE_NGL
390,GUE_NGL,GUE_NGL
391,EPP,EPP
395,EPP,EPP
396,EPP,EPP
397,GREEN_EFA,GREEN_EFA
398,EPP,EPP
399,EPP,EPP
400,EPP,EPP
402,EPP,EPP
404,GREEN_EFA,GREEN_EFA
406,SD,SD
409,EPP,EPP
410,RENEW,RENEW
412,GREEN_EFA,GREEN_EFA
413,SD,SD
416,RENEW,RENEW
417,RENEW,RENEW
420,GREEN_EFA,GREEN_EFA
421,GREEN_EFA,GREEN_EFA
422,GREEN_EFA,GREEN_EFA
424,GREEN_EFA,GREEN_EFA
425,EPP,EPP
426,GREEN_EFA,GREEN_EFA
428,GREEN_EFA,GREEN_EFA
429,GREEN_EFA,GREEN_EFA
430,GREEN_EFA,GREEN_EFA
431,GREEN_EFA,GREEN_EFA
433,GREEN_EFA,GREEN_EFA
434,GREEN_EFA,GREEN_EFA
435,GREEN_EFA,GREEN_EFA
436,ECR,ECR
437,GUE_NGL,GUE_NGL
438,ECR,ECR
439,GREEN_EFA,GREEN_EFA
441,ID,ID
442,EPP,EPP
443,ID,ID
444,ECR,ECR
445,ID,ID
446,ID,ID
447,ID,ID
448,ID,ID
449,ID,ID
450,ID,ID
453,EPP,EPP
454,ID,ID
457,SD,SD
461,GREEN_EFA,GREEN_EFA
462,ECR,ECR
464,GREEN_EFA,GREEN_EFA
467,GREEN_EFA,GREEN_EFA
469,RENEW,RENEW
470,EPP,EPP
471,GREEN_EFA,GREEN_EFA
472,GREEN_EFA,GREEN_EFA
473,EPP,EPP
474,EPP,EPP
475,EPP,EPP
476,ECR,ECR
477,EPP,EPP
478,ECR,ECR
479,ECR,ECR
480,ECR,ECR
484,EPP,EPP
485,RENEW,RENEW
486,GUE_NGL,GUE_NGL
487,RENEW,RENEW
488,GUE_NGL,GUE_NGL
489,ECR,ECR
490,GREEN_EFA,GREEN_EFA
491,ECR,ECR
492,GUE_NGL,GUE_NGL
493,EPP,EPP
494,EPP,EPP
495,EPP,EPP
496,ECR,ECR
497,ECR,ECR
498,GREEN_EFA,GREEN_EFA
500,ECR,ECR
501,EPP,EPP
503,ECR,ECR
504,ECR,ECR
505,GREEN_EFA,GREEN_EFA
507,EPP,EPP
508,GREEN_EFA,GREEN_EFA
509,GREEN_EFA,GREEN_EFA
510,RENEW,RENEW
511,ECR,ECR
512,ECR,ECR
514,RENEW,RENEW
515,ID,ID
516,RENEW,RENEW
517,RENEW,RENEW
518,ECR,ECR
520,ID,ID
521,ECR,ECR
523,ID,ID
524,GUE_NGL,GUE_NGL
525,ECR,ECR
526,GREEN_EFA,GREEN_EFA
527,GREEN_EFA,GREEN_EFA
528,RENEW,RENEW
530,ID,ID
531,SD,SD
532,ID,ID
534,ID,ID
535,SD,SD
537,ID,ID
538,SD,SD
542,SD,SD
543,SD,SD
544,RENEW,RENEW
545,ID,ID
546,RENEW,RENEW
547,ID,ID
555,EPP,EPP
556,ECR,ECR
557,ID,ID
558,ID,ID
559,ID,ID
563,ID,ID
564,ID,ID
566,SD,SD
569,EPP,EPP
570,ID,ID
573,ID,ID
574,ID,ID
575,ID,ID
576,ID,ID
579,SD,SD
580,SD,SD
581,EPP,EPP
582,EPP,EPP
583,SD,SD
589,GREEN_EFA,GREEN_EFA
590,EPP,EPP
591,EPP,EPP
592,EPP,EPP
593,EPP,EPP
594,SD,SD
595,SD,SD
596,EPP,EPP
597,SD,SD
598,GREEN_EFA,GREEN_EFA
599,ECR,ECR
600,EPP,EPP
602,SD,SD
604,EPP,EPP
608,EPP,EPP
610,SD,SD
611,EPP,EPP
612,EPP,EPP
613,GREEN_EFA,GREEN_EFA
614,SD,SD
616,EPP,EPP
617,ID,ID
618,GUE_NGL,GUE_NGL
619,SD,SD
623,ID,ID
624,ID,ID
625,ID,ID
626,EPP,EPP
628,SD,SD
629,EPP,EPP
631,SD,SD
633,GUE_NGL,GUE_NGL
635,GUE_NGL,GUE_NGL
636,SD,SD
641,ECR,ECR
643,EPP,EPP
648,SD,SD
650,SD,SD
651,EPP,EPP
654,SD,SD
656,GUE_NGL,GUE_NGL
660,SD,SD
663,EPP,EPP
666,SD,SD
667,GUE_NGL,GUE_NGL
669,EPP,EPP
674,GUE_NGL,GUE_NGL
676,SD,SD
684,EPP,EPP
686,ECR,ECR
690,GREEN_EFA,GREEN_EFA
691,ECR,ECR
692,ECR,ECR
693,EPP,EPP
694,EPP,EPP
696,RENEW,RENEW
698,SD,SD
701,GUE_NGL,GUE_NGL
702,ID,ID
703,ID,ID
704,ID,ID
705,ID,ID
706,ID,ID
707,SD,SD
711,ID,ID
712,EPP,EPP
713,EPP,EPP
714,ID,ID
715,SD,SD
716,SD,SD
717,GREEN_EFA,GREEN_EFA
720,GUE_NGL,GUE_NGL
721,ID,ID
725,SD,SD
732,GUE_NGL,GUE_NGL
734,GUE_NGL,GUE_NGL
735,ECR,ECR
737,ECR,ECR
738,ECR,ECR
739,ID,ID
740,GUE_NGL,GUE_NGL
741,GUE_NGL,GUE_NGL
742,ECR,ECR
743,ECR,ECR
744,GREEN_EFA,GREEN_EFA
745,EPP,EPP
746,EPP,EPP
747,GREEN_EFA,GREEN_EFA
749,EPP,EPP
750,EPP,EPP
751,EPP,EPP
752,SD,SD
753,EPP,EPP
754,SD,SD
755,SD,SD
756,SD,SD
758,ECR,ECR
762,GREEN_EFA,GREEN_EFA
763,GREEN_EFA,GREEN_EFA
767,ECR,ECR
768,ID,ID
769,SD,SD
770,SD,SD
771,ECR,ECR
774,EPP,EPP
775,SD,SD
776,EPP,EPP
781,EPP,EPP
782,ECR,ECR
783,GREEN_EFA,GREEN_EFA
784,EPP,EPP
785,ECR,ECR
786,EPP,EPP
788,RENEW,RENEW
789,SD,SD
790,ECR,ECR
791,RENEW,RENEW
792,SD,SD
793,RENEW,RENEW
794,GREEN_EFA,GREEN_EFA
795,ID,ID
797,EPP,EPP
798,ECR,ECR
799,GUE_NGL,GUE_NGL
800,GREEN_EFA,GREEN_EFA
801,GREEN_EFA,GREEN_EFA
802,SD,SD
803,RENEW,RENEW
804,EPP,EPP
805,RENEW,RENEW
807,RENEW,RENEW
808,SD,SD
809,ECR,ECR
810,ECR,ECR
811,EPP,EPP
812,SD,SD
813,SD,SD
815,RENEW,RENEW
816,SD,SD
817,SD,SD
820,RENEW,RENEW
