"from","to","weight"
"Charles GOERENS (LUX-RENEW)","Peter LIESE (DEU-EPP)",1
"Charles GOERENS (LUX-RENEW)","Jan HUITEMA (NLD-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Seán KELLY (IRL-EPP)",1
"Charles GOERENS (LUX-RENEW)","Morten LØKKEGAARD (DNK-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Maria da Graça CARVALHO (PRT-EPP)",1
"Charles GOERENS (LUX-RENEW)","Paulo RANGEL (PRT-EPP)",1
"Charles GOERENS (LUX-RENEW)","Guy VERHOFSTADT (BEL-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Nils TORVALDS (FIN-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Andrus ANSIP (EST-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Luděk NIEDERMAYER (CZE-EPP)",1
"Charles GOERENS (LUX-RENEW)","Petras AUŠTREVIČIUS (LTU-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Javier NART (ESP-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Maite PAGAZAURTUNDÚA (ESP-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Clara AGUILERA (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Jordi CAÑAS (ESP-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Urmas PAET (EST-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Hilde VAUTMANS (BEL-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Hildegard BENTELE (DEU-EPP)",1
"Charles GOERENS (LUX-RENEW)","Monica SEMEDO (LUX-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Cindy FRANSSEN (BEL-EPP)",1
"Charles GOERENS (LUX-RENEW)","Pernille WEISS (DNK-EPP)",1
"Charles GOERENS (LUX-RENEW)","Mauri PEKKARINEN (FIN-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Ivars IJABS (LVA-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Claudia GAMON (AUT-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Lídia PEREIRA (PRT-EPP)",1
"Charles GOERENS (LUX-RENEW)","José Ramón BAUZÁ DÍAZ (ESP-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Malik AZMANI (NLD-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Susana SOLÍS PÉREZ (ESP-RENEW)",1
