"from","to","weight"
"Constanze KREHL (DEU-SD)","Antonio TAJANI (ITA-EPP)",1
"Constanze KREHL (DEU-SD)","Frédérique RIES (BEL-RENEW)",1
"Constanze KREHL (DEU-SD)","Raffaele FITTO (ITA-ECR)",1
"Constanze KREHL (DEU-SD)","Brice HORTEFEUX (FRA-EPP)",1
"Constanze KREHL (DEU-SD)","Lefteris CHRISTOFOROU (CYP-EPP)",1
"Constanze KREHL (DEU-SD)","Margrete AUKEN (DNK-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Markus PIEPER (DEU-EPP)",1
"Constanze KREHL (DEU-SD)","Anna FOTYGA (POL-ECR)",1
"Constanze KREHL (DEU-SD)","Zbigniew KUŹMIUK (POL-ECR)",1
"Constanze KREHL (DEU-SD)","Antonio LÓPEZ-ISTÚRIZ WHITE (ESP-EPP)",1
"Constanze KREHL (DEU-SD)","Marc TARABELLA (BEL-SD)",1
"Constanze KREHL (DEU-SD)","Corina CREȚU (ROU-SD)",1
"Constanze KREHL (DEU-SD)","Aldo PATRICIELLO (ITA-EPP)",1
"Constanze KREHL (DEU-SD)","Nicolae ŞTEFĂNUȚĂ (ROU-RENEW)",1
"Constanze KREHL (DEU-SD)","Yannick JADOT (FRA-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Michèle RIVASI (FRA-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Ryszard Antoni LEGUTKO (POL-ECR)",1
"Constanze KREHL (DEU-SD)","Peter van DALEN (NLD-EPP)",1
"Constanze KREHL (DEU-SD)","Marisa MATIAS (PRT-GUE_NGL)",1
"Constanze KREHL (DEU-SD)","Ismail ERTUG (DEU-SD)",1
"Constanze KREHL (DEU-SD)","Maria da Graça CARVALHO (PRT-EPP)",1
"Constanze KREHL (DEU-SD)","Andrea COZZOLINO (ITA-SD)",1
"Constanze KREHL (DEU-SD)","José Manuel FERNANDES (PRT-EPP)",1
"Constanze KREHL (DEU-SD)","Paulo RANGEL (PRT-EPP)",1
"Constanze KREHL (DEU-SD)","Birgit SIPPEL (DEU-SD)",1
"Constanze KREHL (DEU-SD)","Nuno MELO (PRT-EPP)",1
"Constanze KREHL (DEU-SD)","Loránt VINCZE (ROU-EPP)",1
"Constanze KREHL (DEU-SD)","Michal ŠIMEČKA (SVK-RENEW)",1
"Constanze KREHL (DEU-SD)","Biljana BORZAN (HRV-SD)",1
"Constanze KREHL (DEU-SD)","Eric ANDRIEU (FRA-SD)",1
"Constanze KREHL (DEU-SD)","Nils TORVALDS (FIN-RENEW)",1
"Constanze KREHL (DEU-SD)","Costas MAVRIDES (CYP-SD)",1
"Constanze KREHL (DEU-SD)","Cláudia MONTEIRO DE AGUIAR (PRT-EPP)",1
"Constanze KREHL (DEU-SD)","Joëlle MÉLIN (FRA-ID)",1
"Constanze KREHL (DEU-SD)","Eleonora EVI (ITA-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Dan NICA (ROU-SD)",1
"Constanze KREHL (DEU-SD)","Jens GIESEKE (DEU-EPP)",1
"Constanze KREHL (DEU-SD)","Simona BONAFÈ (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Fulvio MARTUSCIELLO (ITA-EPP)",1
"Constanze KREHL (DEU-SD)","Joachim SCHUSTER (DEU-SD)",1
"Constanze KREHL (DEU-SD)","Caterina CHINNICI (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Krzysztof HETMAN (POL-EPP)",1
"Constanze KREHL (DEU-SD)","Ernest URTASUN (ESP-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Jytte GUTELAND (SWE-SD)",1
"Constanze KREHL (DEU-SD)","Esteban GONZÁLEZ PONS (ESP-EPP)",1
"Constanze KREHL (DEU-SD)","Annie SCHREIJER-PIERIK (NLD-EPP)",1
"Constanze KREHL (DEU-SD)","Maria SPYRAKI (GRC-EPP)",1
"Constanze KREHL (DEU-SD)","Manolis KEFALOGIANNIS (GRC-EPP)",1
"Constanze KREHL (DEU-SD)","Nikos ANDROULAKIS (GRC-SD)",1
"Constanze KREHL (DEU-SD)","Massimiliano SALINI (ITA-EPP)",1
"Constanze KREHL (DEU-SD)","Stelios KOULOGLOU (GRC-GUE_NGL)",1
"Constanze KREHL (DEU-SD)","Ramona STRUGARIU (ROU-RENEW)",1
"Constanze KREHL (DEU-SD)","Željana ZOVKO (HRV-EPP)",1
"Constanze KREHL (DEU-SD)","Dennis RADTKE (DEU-EPP)",1
"Constanze KREHL (DEU-SD)","Giuseppe FERRANDINO (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Tilly METZ (LUX-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Christophe HANSEN (LUX-EPP)",1
"Constanze KREHL (DEU-SD)","Erik BERGKVIST (SWE-SD)",1
"Constanze KREHL (DEU-SD)","Karlo RESSLER (HRV-EPP)",1
"Constanze KREHL (DEU-SD)","Loucas FOURLAS (CYP-EPP)",1
"Constanze KREHL (DEU-SD)","Niyazi KIZILYÜREK (CYP-GUE_NGL)",1
"Constanze KREHL (DEU-SD)","Valter FLEGO (HRV-RENEW)",1
"Constanze KREHL (DEU-SD)","Nicola BEER (DEU-RENEW)",1
"Constanze KREHL (DEU-SD)","Viola VON CRAMON-TAUBADEL (DEU-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Benoît LUTGEN (BEL-EPP)",1
"Constanze KREHL (DEU-SD)","Jutta PAULUS (DEU-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Bartosz ARŁUKOWICZ (POL-EPP)",1
"Constanze KREHL (DEU-SD)","Nathalie LOISEAU (FRA-RENEW)",1
"Constanze KREHL (DEU-SD)","Chrysoula ZACHAROPOULOU (FRA-RENEW)",1
"Constanze KREHL (DEU-SD)","Mounir SATOURI (FRA-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Stéphane SÉJOURNÉ (FRA-RENEW)",1
"Constanze KREHL (DEU-SD)","Tomasz FRANKOWSKI (POL-EPP)",1
"Constanze KREHL (DEU-SD)","Agnès EVREN (FRA-EPP)",1
"Constanze KREHL (DEU-SD)","Luis GARICANO (ESP-RENEW)",1
"Constanze KREHL (DEU-SD)","Søren GADE (DNK-RENEW)",1
