Id,Label,group_code
2,SD,SD
9,GREEN_EFA,GREEN_EFA
10,EPP,EPP
20,ECR,ECR
29,ECR,ECR
31,EPP,EPP
34,GUE_NGL,GUE_NGL
35,ECR,ECR
38,ECR,ECR
42,GUE_NGL,GUE_NGL
43,EPP,EPP
46,EPP,EPP
52,GREEN_EFA,GREEN_EFA
62,ECR,ECR
67,ECR,ECR
68,ECR,ECR
69,ECR,ECR
75,GUE_NGL,GUE_NGL
76,ECR,ECR
78,GREEN_EFA,GREEN_EFA
80,GUE_NGL,GUE_NGL
85,ID,ID
86,EPP,EPP
90,EPP,EPP
92,ID,ID
95,EPP,EPP
97,RENEW,RENEW
99,EPP,EPP
100,GREEN_EFA,GREEN_EFA
101,GUE_NGL,GUE_NGL
102,SD,SD
103,ID,ID
105,GUE_NGL,GUE_NGL
106,GREEN_EFA,GREEN_EFA
116,ECR,ECR
117,GREEN_EFA,GREEN_EFA
119,GREEN_EFA,GREEN_EFA
120,GREEN_EFA,GREEN_EFA
121,GREEN_EFA,GREEN_EFA
122,GREEN_EFA,GREEN_EFA
123,EPP,EPP
124,GREEN_EFA,GREEN_EFA
125,GREEN_EFA,GREEN_EFA
136,ECR,ECR
137,ECR,ECR
139,EPP,EPP
140,ECR,ECR
143,GUE_NGL,GUE_NGL
149,SD,SD
151,GUE_NGL,GUE_NGL
154,GREEN_EFA,GREEN_EFA
160,EPP,EPP
168,SD,SD
170,EPP,EPP
175,ID,ID
176,GREEN_EFA,GREEN_EFA
180,ID,ID
183,ID,ID
185,GREEN_EFA,GREEN_EFA
186,RENEW,RENEW
187,GREEN_EFA,GREEN_EFA
195,SD,SD
199,RENEW,RENEW
202,GUE_NGL,GUE_NGL
225,ID,ID
228,ID,ID
229,ID,ID
231,ID,ID
232,ID,ID
234,GREEN_EFA,GREEN_EFA
235,ID,ID
246,SD,SD
250,EPP,EPP
254,GREEN_EFA,GREEN_EFA
257,GREEN_EFA,GREEN_EFA
261,GREEN_EFA,GREEN_EFA
268,ECR,ECR
270,ECR,ECR
271,ECR,ECR
272,ECR,ECR
273,ECR,ECR
274,EPP,EPP
276,GREEN_EFA,GREEN_EFA
277,SD,SD
285,GREEN_EFA,GREEN_EFA
286,ID,ID
287,GUE_NGL,GUE_NGL
291,SD,SD
292,GUE_NGL,GUE_NGL
294,ID,ID
300,GUE_NGL,GUE_NGL
302,EPP,EPP
303,EPP,EPP
310,EPP,EPP
318,SD,SD
320,GREEN_EFA,GREEN_EFA
322,EPP,EPP
326,ID,ID
329,EPP,EPP
332,GUE_NGL,GUE_NGL
333,GUE_NGL,GUE_NGL
334,ID,ID
335,ID,ID
339,GUE_NGL,GUE_NGL
340,ID,ID
341,GREEN_EFA,GREEN_EFA
342,ID,ID
343,GREEN_EFA,GREEN_EFA
346,ID,ID
347,GREEN_EFA,GREEN_EFA
348,GUE_NGL,GUE_NGL
352,ID,ID
356,GREEN_EFA,GREEN_EFA
357,GUE_NGL,GUE_NGL
358,ID,ID
361,EPP,EPP
364,ID,ID
365,GREEN_EFA,GREEN_EFA
366,GREEN_EFA,GREEN_EFA
367,EPP,EPP
373,GREEN_EFA,GREEN_EFA
374,SD,SD
375,GREEN_EFA,GREEN_EFA
376,ECR,ECR
389,GUE_NGL,GUE_NGL
390,GUE_NGL,GUE_NGL
397,GREEN_EFA,GREEN_EFA
404,GREEN_EFA,GREEN_EFA
410,RENEW,RENEW
412,GREEN_EFA,GREEN_EFA
420,GREEN_EFA,GREEN_EFA
421,GREEN_EFA,GREEN_EFA
422,GREEN_EFA,GREEN_EFA
424,GREEN_EFA,GREEN_EFA
426,GREEN_EFA,GREEN_EFA
428,GREEN_EFA,GREEN_EFA
429,GREEN_EFA,GREEN_EFA
430,GREEN_EFA,GREEN_EFA
431,GREEN_EFA,GREEN_EFA
433,GREEN_EFA,GREEN_EFA
434,GREEN_EFA,GREEN_EFA
435,GREEN_EFA,GREEN_EFA
437,GUE_NGL,GUE_NGL
439,GREEN_EFA,GREEN_EFA
441,ID,ID
443,ID,ID
444,ECR,ECR
445,ID,ID
446,ID,ID
447,ID,ID
448,ID,ID
449,ID,ID
450,ID,ID
453,EPP,EPP
454,ID,ID
460,RENEW,RENEW
461,GREEN_EFA,GREEN_EFA
462,ECR,ECR
464,GREEN_EFA,GREEN_EFA
467,GREEN_EFA,GREEN_EFA
469,RENEW,RENEW
472,GREEN_EFA,GREEN_EFA
476,ECR,ECR
478,ECR,ECR
479,ECR,ECR
480,ECR,ECR
485,RENEW,RENEW
486,GUE_NGL,GUE_NGL
487,RENEW,RENEW
488,GUE_NGL,GUE_NGL
489,ECR,ECR
490,GREEN_EFA,GREEN_EFA
491,ECR,ECR
492,GUE_NGL,GUE_NGL
493,EPP,EPP
494,EPP,EPP
495,EPP,EPP
496,ECR,ECR
497,ECR,ECR
498,GREEN_EFA,GREEN_EFA
500,ECR,ECR
503,ECR,ECR
504,ECR,ECR
505,GREEN_EFA,GREEN_EFA
507,EPP,EPP
508,GREEN_EFA,GREEN_EFA
509,GREEN_EFA,GREEN_EFA
511,ECR,ECR
512,ECR,ECR
513,RENEW,RENEW
514,RENEW,RENEW
518,ECR,ECR
521,ECR,ECR
523,ID,ID
524,GUE_NGL,GUE_NGL
525,ECR,ECR
526,GREEN_EFA,GREEN_EFA
527,GREEN_EFA,GREEN_EFA
530,ID,ID
532,ID,ID
534,ID,ID
537,ID,ID
543,SD,SD
544,RENEW,RENEW
545,ID,ID
547,ID,ID
548,ID,ID
556,ECR,ECR
557,ID,ID
558,ID,ID
559,ID,ID
562,ID,ID
563,ID,ID
564,ID,ID
565,SD,SD
570,ID,ID
573,ID,ID
574,ID,ID
575,ID,ID
576,ID,ID
589,GREEN_EFA,GREEN_EFA
592,EPP,EPP
593,EPP,EPP
596,EPP,EPP
598,GREEN_EFA,GREEN_EFA
600,EPP,EPP
613,GREEN_EFA,GREEN_EFA
615,SD,SD
617,ID,ID
618,GUE_NGL,GUE_NGL
620,ID,ID
621,GUE_NGL,GUE_NGL
623,ID,ID
624,ID,ID
625,ID,ID
626,EPP,EPP
628,SD,SD
631,SD,SD
633,GUE_NGL,GUE_NGL
635,GUE_NGL,GUE_NGL
641,ECR,ECR
656,GUE_NGL,GUE_NGL
657,SD,SD
660,SD,SD
667,GUE_NGL,GUE_NGL
669,EPP,EPP
674,GUE_NGL,GUE_NGL
686,ECR,ECR
690,GREEN_EFA,GREEN_EFA
691,ECR,ECR
692,ECR,ECR
701,GUE_NGL,GUE_NGL
