"from","to","weight"
"Constanze KREHL (DEU-SD)","Antonio TAJANI (ITA-EPP)",1
"Constanze KREHL (DEU-SD)","Lefteris CHRISTOFOROU (CYP-EPP)",1
"Constanze KREHL (DEU-SD)","Michèle RIVASI (FRA-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Ismail ERTUG (DEU-SD)",1
"Constanze KREHL (DEU-SD)","Michal ŠIMEČKA (SVK-RENEW)",1
"Constanze KREHL (DEU-SD)","Eric ANDRIEU (FRA-SD)",1
"Constanze KREHL (DEU-SD)","Eleonora EVI (ITA-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Simona BONAFÈ (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Jytte GUTELAND (SWE-SD)",1
"Constanze KREHL (DEU-SD)","Esteban GONZÁLEZ PONS (ESP-EPP)",1
"Constanze KREHL (DEU-SD)","Nikos ANDROULAKIS (GRC-SD)",1
"Constanze KREHL (DEU-SD)","Stelios KOULOGLOU (GRC-GUE_NGL)",1
"Constanze KREHL (DEU-SD)","Chrysoula ZACHAROPOULOU (FRA-RENEW)",1
"Constanze KREHL (DEU-SD)","Luis GARICANO (ESP-RENEW)",1
"Constanze KREHL (DEU-SD)","Søren GADE (DNK-RENEW)",1
"Constanze KREHL (DEU-SD)","Peter KOFOD (DNK-ID)",1
"Constanze KREHL (DEU-SD)","Pierfrancesco MAJORINO (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Véronique TRILLET-LENOIR (FRA-RENEW)",1
"Constanze KREHL (DEU-SD)","Carlo CALENDA (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Bettina VOLLATH (AUT-SD)",1
"Constanze KREHL (DEU-SD)","Pernando BARRENA ARZA (ESP-GUE_NGL)",1
"Constanze KREHL (DEU-SD)","Manuel PIZARRO (PRT-SD)",1
"Constanze KREHL (DEU-SD)","Adriana MALDONADO LÓPEZ (ESP-SD)",1
"Constanze KREHL (DEU-SD)","Álvaro AMARO (PRT-EPP)",1
"Markus FERBER (DEU-EPP)","Peter LIESE (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Rainer WIELAND (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Michael GAHLER (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Angelika NIEBLER (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Daniel CASPARY (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Marian-Jean MARINESCU (ROU-EPP)",1
"Markus FERBER (DEU-EPP)","Jeroen LENAERS (NLD-EPP)",1
"Markus FERBER (DEU-EPP)","Sabine VERHEYEN (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Axel VOSS (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Peter JAHR (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Monika HOHLMEIER (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Siegfried MUREŞAN (ROU-EPP)",1
"Markus FERBER (DEU-EPP)","David McALLISTER (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Norbert LINS (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Daniel BUDA (ROU-EPP)",1
"Markus FERBER (DEU-EPP)","Dennis RADTKE (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Niclas HERBST (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Sven SIMON (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Marlene MORTLER (DEU-EPP)",1
