Source,Target
2,10
2,20
2,46
2,149
2,186
2,195
2,234
2,246
2,291
2,303
2,318
2,460
2,513
2,514
2,543
2,565
2,615
2,621
2,657
2,660
2,669
2,712
10,20
10,46
10,86
10,149
10,175
10,186
10,195
10,234
10,246
10,291
10,303
10,318
10,367
10,453
10,460
10,513
10,514
10,523
10,543
10,548
10,562
10,565
10,600
10,615
10,621
10,657
10,660
10,669
10,705
10,706
10,712
15,367
20,46
20,69
20,86
20,175
20,229
20,234
20,246
20,291
20,303
20,318
20,460
20,513
20,514
20,523
20,543
20,556
20,562
20,565
20,615
20,657
20,705
20,706
20,712
29,67
29,140
29,556
29,735
29,738
29,782
34,105
34,143
34,151
34,202
34,287
34,300
34,333
34,348
34,357
34,389
34,390
34,437
34,618
34,656
34,701
34,720
34,732
34,740
35,116
35,496
35,511
38,62
38,67
38,68
38,69
38,136
38,137
38,268
38,270
38,271
38,272
38,273
38,462
38,476
38,478
38,479
38,480
38,489
38,491
38,497
38,500
38,503
38,504
38,512
38,518
38,521
38,525
38,556
38,785
42,488
42,492
46,86
46,149
46,175
46,186
46,195
46,234
46,246
46,291
46,303
46,318
46,367
46,453
46,460
46,494
46,513
46,514
46,543
46,562
46,565
46,600
46,615
46,657
46,660
46,669
46,706
46,712
62,67
62,68
62,136
62,137
62,268
62,270
62,271
62,272
62,273
62,462
62,476
62,478
62,479
62,480
62,489
62,491
62,497
62,500
62,503
62,504
62,512
62,518
62,521
62,525
62,758
62,785
67,68
67,136
67,137
67,270
67,271
67,272
67,273
67,462
67,476
67,478
67,479
67,480
67,489
67,491
67,497
67,500
67,503
67,504
67,512
67,518
67,521
67,525
67,785
68,69
68,136
68,137
68,270
68,271
68,272
68,273
68,462
68,476
68,478
68,479
68,480
68,489
68,491
68,497
68,500
68,503
68,504
68,512
68,518
68,521
68,525
68,785
69,136
69,137
69,139
69,268
69,270
69,271
69,272
69,273
69,274
69,462
69,478
69,489
69,491
69,497
69,503
69,504
69,512
69,518
69,525
69,785
75,332
75,635
75,667
76,136
78,656
78,732
85,180
