Id,Label,group_code
2,SD,SD
10,EPP,EPP
15,RENEW,RENEW
20,ECR,ECR
29,ECR,ECR
34,GUE_NGL,GUE_NGL
35,ECR,ECR
38,ECR,ECR
42,GUE_NGL,GUE_NGL
46,EPP,EPP
62,ECR,ECR
67,ECR,ECR
68,ECR,ECR
69,ECR,ECR
75,GUE_NGL,GUE_NGL
76,ECR,ECR
78,GREEN_EFA,GREEN_EFA
85,ID,ID
86,EPP,EPP
92,ID,ID
101,GUE_NGL,GUE_NGL
103,ID,ID
105,GUE_NGL,GUE_NGL
110,ECR,ECR
116,ECR,ECR
117,GREEN_EFA,GREEN_EFA
121,GREEN_EFA,GREEN_EFA
122,GREEN_EFA,GREEN_EFA
125,GREEN_EFA,GREEN_EFA
136,ECR,ECR
137,ECR,ECR
139,EPP,EPP
140,ECR,ECR
143,GUE_NGL,GUE_NGL
149,SD,SD
151,GUE_NGL,GUE_NGL
154,GREEN_EFA,GREEN_EFA
175,ID,ID
178,EPP,EPP
180,ID,ID
183,ID,ID
186,RENEW,RENEW
195,SD,SD
199,RENEW,RENEW
202,GUE_NGL,GUE_NGL
204,ECR,ECR
225,ID,ID
228,ID,ID
229,ID,ID
231,ID,ID
232,ID,ID
234,GREEN_EFA,GREEN_EFA
235,ID,ID
246,SD,SD
268,ECR,ECR
270,ECR,ECR
271,ECR,ECR
272,ECR,ECR
273,ECR,ECR
274,EPP,EPP
276,GREEN_EFA,GREEN_EFA
285,GREEN_EFA,GREEN_EFA
286,ID,ID
287,GUE_NGL,GUE_NGL
291,SD,SD
292,GUE_NGL,GUE_NGL
293,ECR,ECR
294,ID,ID
300,GUE_NGL,GUE_NGL
302,EPP,EPP
303,EPP,EPP
316,ECR,ECR
318,SD,SD
326,ID,ID
329,EPP,EPP
332,GUE_NGL,GUE_NGL
333,GUE_NGL,GUE_NGL
334,ID,ID
335,ID,ID
339,GUE_NGL,GUE_NGL
340,ID,ID
342,ID,ID
346,ID,ID
348,GUE_NGL,GUE_NGL
352,ID,ID
357,GUE_NGL,GUE_NGL
358,ID,ID
364,ID,ID
366,GREEN_EFA,GREEN_EFA
367,EPP,EPP
374,SD,SD
379,EPP,EPP
381,EPP,EPP
382,EPP,EPP
389,GUE_NGL,GUE_NGL
390,GUE_NGL,GUE_NGL
404,GREEN_EFA,GREEN_EFA
405,RENEW,RENEW
415,RENEW,RENEW
416,RENEW,RENEW
417,RENEW,RENEW
420,GREEN_EFA,GREEN_EFA
431,GREEN_EFA,GREEN_EFA
436,ECR,ECR
437,GUE_NGL,GUE_NGL
438,ECR,ECR
441,ID,ID
443,ID,ID
444,ECR,ECR
445,ID,ID
446,ID,ID
447,ID,ID
448,ID,ID
449,ID,ID
450,ID,ID
453,EPP,EPP
454,ID,ID
460,RENEW,RENEW
461,GREEN_EFA,GREEN_EFA
462,ECR,ECR
467,GREEN_EFA,GREEN_EFA
472,GREEN_EFA,GREEN_EFA
476,ECR,ECR
478,ECR,ECR
479,ECR,ECR
480,ECR,ECR
485,RENEW,RENEW
486,GUE_NGL,GUE_NGL
487,RENEW,RENEW
488,GUE_NGL,GUE_NGL
489,ECR,ECR
491,ECR,ECR
492,GUE_NGL,GUE_NGL
494,EPP,EPP
496,ECR,ECR
497,ECR,ECR
498,GREEN_EFA,GREEN_EFA
500,ECR,ECR
503,ECR,ECR
504,ECR,ECR
505,GREEN_EFA,GREEN_EFA
507,EPP,EPP
508,GREEN_EFA,GREEN_EFA
511,ECR,ECR
512,ECR,ECR
513,RENEW,RENEW
514,RENEW,RENEW
518,ECR,ECR
521,ECR,ECR
523,ID,ID
524,GUE_NGL,GUE_NGL
525,ECR,ECR
526,GREEN_EFA,GREEN_EFA
530,ID,ID
532,ID,ID
534,ID,ID
537,ID,ID
543,SD,SD
544,RENEW,RENEW
545,ID,ID
547,ID,ID
548,ID,ID
556,ECR,ECR
557,ID,ID
558,ID,ID
559,ID,ID
562,ID,ID
563,ID,ID
564,ID,ID
565,SD,SD
570,ID,ID
573,ID,ID
574,ID,ID
575,ID,ID
576,ID,ID
589,GREEN_EFA,GREEN_EFA
600,EPP,EPP
615,SD,SD
617,ID,ID
618,GUE_NGL,GUE_NGL
620,ID,ID
621,GUE_NGL,GUE_NGL
623,ID,ID
624,ID,ID
625,ID,ID
633,GUE_NGL,GUE_NGL
635,GUE_NGL,GUE_NGL
641,ECR,ECR
656,GUE_NGL,GUE_NGL
657,SD,SD
660,SD,SD
667,GUE_NGL,GUE_NGL
669,EPP,EPP
674,GUE_NGL,GUE_NGL
690,GREEN_EFA,GREEN_EFA
691,ECR,ECR
692,ECR,ECR
701,GUE_NGL,GUE_NGL
702,ID,ID
703,ID,ID
704,ID,ID
705,ID,ID
706,ID,ID
711,ID,ID
712,EPP,EPP
714,ID,ID
716,SD,SD
717,GREEN_EFA,GREEN_EFA
720,GUE_NGL,GUE_NGL
721,ID,ID
732,GUE_NGL,GUE_NGL
734,GUE_NGL,GUE_NGL
735,ECR,ECR
738,ECR,ECR
739,ID,ID
740,GUE_NGL,GUE_NGL
741,GUE_NGL,GUE_NGL
742,ECR,ECR
743,ECR,ECR
758,ECR,ECR
762,GREEN_EFA,GREEN_EFA
767,ECR,ECR
768,ID,ID
771,ECR,ECR
782,ECR,ECR
785,ECR,ECR
790,ECR,ECR
794,GREEN_EFA,GREEN_EFA
795,ID,ID
804,EPP,EPP
809,ECR,ECR
810,ECR,ECR
811,EPP,EPP
813,SD,SD
815,RENEW,RENEW
816,SD,SD
817,SD,SD
