Source,Target
2,46
2,149
2,186
2,195
2,234
2,246
2,285
2,291
2,318
2,332
2,453
2,460
2,513
2,543
2,544
2,565
2,615
2,618
2,621
2,657
2,660
2,669
6,12
6,17
6,53
6,54
6,126
6,127
6,129
6,241
6,242
6,243
6,386
6,396
6,398
6,400
6,402
6,442
6,555
7,12
7,17
7,53
7,59
7,60
7,126
7,241
7,243
7,360
7,398
7,402
7,663
7,751
8,71
8,72
8,138
8,166
8,555
8,569
8,693
10,46
10,86
10,139
10,186
10,234
10,246
10,250
10,274
10,291
10,302
10,460
10,507
10,513
10,543
10,565
10,600
10,615
10,657
10,669
10,706
10,712
10,737
12,13
12,17
12,53
12,54
12,56
12,57
12,61
12,71
12,72
12,126
12,127
12,128
12,129
12,133
12,134
12,138
12,182
12,241
12,243
12,360
12,384
12,386
12,396
12,398
12,399
12,400
12,402
12,442
12,470
12,473
12,555
12,608
12,693
12,751
12,753
13,17
13,53
13,54
13,57
13,72
13,126
13,127
13,129
13,133
13,182
13,241
13,243
13,384
13,386
13,396
13,398
13,399
13,400
13,402
13,442
13,470
13,693
15,186
17,53
17,54
17,56
17,60
17,126
17,127
17,129
17,133
17,166
17,182
17,241
17,243
17,384
17,386
17,396
17,398
17,399
17,400
17,402
17,442
20,29
20,38
20,68
20,69
20,76
20,136
20,140
20,175
20,268
20,272
20,342
20,364
20,462
20,500
20,503
20,518
20,548
20,556
20,562
20,705
20,712
20,735
20,738
28,104
28,694
29,38
29,62
29,67
29,76
29,85
29,136
29,137
29,140
29,180
29,235
29,268
29,270
29,271
29,273
29,342
29,444
29,462
29,476
29,478
29,479
29,480
29,489
29,491
29,497
29,500
29,503
29,504
29,512
29,518
29,521
29,525
29,530
29,537
29,556
29,557
29,558
29,559
29,564
29,575
29,599
29,702
29,703
29,714
29,721
29,735
29,738
29,739
29,758
29,771
29,782
29,785
31,99
31,123
31,399
35,85
35,103
35,116
35,180
35,225
35,232
35,235
35,286
35,346
35,352
35,441
35,496
35,504
35,511
35,521
35,530
35,556
35,564
35,570
35,574
35,702
35,703
37,61
37,360
37,596
38,62
38,67
38,68
38,69
38,76
38,85
38,110
38,136
38,137
38,140
38,180
38,183
38,268
38,270
38,271
38,272
38,273
38,358
38,364
38,444
38,462
38,476
38,478
38,479
38,480
38,489
38,491
38,497
38,500
38,503
38,504
38,512
38,518
38,521
38,525
38,530
38,556
38,557
38,558
38,559
38,564
38,599
38,691
38,702
38,703
38,735
38,738
38,742
38,743
38,758
38,767
38,771
38,782
38,785
43,99
43,123
43,495
46,122
46,149
46,186
46,234
46,246
46,274
46,291
46,318
46,367
46,388
46,453
46,460
46,494
46,513
46,514
46,543
46,544
46,565
46,600
46,615
46,618
46,621
46,657
46,660
46,669
49,643
53,54
53,56
53,57
53,61
53,126
53,127
53,128
53,129
53,133
53,141
53,182
53,241
53,243
53,384
53,385
53,386
53,396
53,398
53,399
53,400
53,402
53,442
53,470
53,596
53,751
54,126
54,127
54,129
54,241
54,243
54,384
54,386
54,396
54,398
54,399
54,402
54,442
56,182
56,241
56,243
56,384
56,399
56,402
56,442
57,59
57,128
57,129
57,141
57,240
57,241
57,243
57,360
57,386
57,398
57,402
57,596
57,611
57,643
60,61
60,91
60,128
60,166
60,177
60,295
60,315
60,391
60,398
60,473
60,477
60,555
60,611
60,612
60,751
61,71
61,72
61,126
61,128
61,129
61,134
61,138
61,166
61,241
61,243
61,360
61,398
61,402
61,470
61,473
61,477
61,555
61,750
61,751
61,753
61,797
62,67
62,68
62,69
62,76
62,85
62,110
62,136
62,137
62,140
62,180
62,183
62,220
62,268
62,270
62,271
62,272
62,273
62,358
62,364
62,444
62,462
62,476
62,478
62,479
62,480
62,489
62,491
62,497
62,500
62,503
62,504
62,512
62,518
62,521
62,525
62,530
62,537
62,556
62,557
62,558
62,559
62,564
62,599
62,691
62,702
62,703
62,714
62,721
62,735
62,738
62,739
62,742
62,758
62,767
62,771
62,782
62,785
62,790
62,810
67,68
67,69
67,76
67,85
67,110
67,136
67,137
67,140
67,180
67,183
67,268
67,270
67,271
67,272
67,273
67,340
67,358
67,364
67,444
67,462
67,476
67,478
67,479
67,480
67,489
67,491
67,497
67,500
67,503
67,504
67,512
67,518
67,521
67,525
67,530
67,537
67,556
67,557
67,558
67,559
67,564
67,576
67,599
67,617
67,691
67,702
67,703
67,705
67,714
67,721
67,735
67,738
67,739
67,758
67,782
67,785
68,69
68,76
68,85
68,110
68,136
68,137
68,140
68,180
68,183
68,268
68,270
68,271
68,272
68,273
68,334
68,342
68,364
68,444
68,462
68,476
68,478
68,479
68,480
68,489
68,491
68,497
68,500
68,503
68,504
68,512
68,518
68,521
68,525
68,530
68,556
68,557
68,558
68,559
68,564
68,599
68,691
68,702
68,703
68,711
68,735
68,738
68,739
68,785
69,76
69,85
69,103
69,110
69,136
69,137
69,140
69,175
69,180
69,183
69,225
69,228
69,231
69,232
69,235
69,268
69,270
69,271
69,272
69,273
69,334
69,342
69,352
69,364
69,444
69,462
69,476
69,478
69,479
69,480
69,489
69,491
69,497
69,500
69,503
69,504
69,512
69,518
69,521
69,525
69,530
69,532
69,556
69,557
69,558
69,559
69,562
69,563
69,564
69,570
69,574
69,599
69,620
69,623
69,624
69,625
69,691
69,702
69,703
69,704
69,705
69,711
69,714
69,721
69,735
69,738
69,739
69,743
69,758
69,767
69,771
69,782
69,785
70,91
70,141
71,72
71,138
71,166
71,315
71,470
71,555
71,569
71,616
71,643
71,693
71,751
71,753
72,123
72,126
72,128
72,129
72,138
72,141
72,166
72,182
72,241
72,243
72,297
72,344
72,402
72,555
72,569
72,643
72,693
72,797
76,85
76,110
76,116
76,136
76,137
76,140
76,175
76,180
76,183
76,220
76,225
76,228
76,232
76,235
76,268
76,270
76,271
76,272
76,273
76,334
76,340
76,342
76,352
76,444
76,462
76,476
76,478
76,479
76,480
76,489
76,491
76,497
76,500
76,503
76,504
76,512
76,518
76,521
76,525
76,530
76,532
76,556
76,557
76,559
76,562
76,563
76,564
76,574
76,599
76,617
76,623
76,624
76,625
76,702
76,703
76,705
76,711
76,714
76,721
76,735
76,738
76,739
76,758
76,771
76,782
76,785
82,128
82,240
82,295
82,751
85,92
85,103
85,110
85,136
85,137
85,140
85,175
85,180
85,183
85,225
85,228
85,232
85,235
85,268
85,270
85,271
85,272
85,273
85,286
85,294
85,326
85,334
85,335
85,340
85,342
85,346
85,352
85,358
85,364
85,441
85,444
85,445
85,447
85,448
85,449
85,454
85,462
85,476
85,478
85,479
85,480
85,489
85,491
85,493
85,496
85,497
85,500
85,503
85,504
85,511
85,512
85,518
85,520
85,521
85,525
85,530
85,532
85,534
85,537
85,547
85,556
85,557
85,558
85,559
85,562
85,563
85,564
85,570
85,573
85,574
85,575
85,617
85,623
85,624
85,625
85,691
85,702
85,703
85,704
85,705
85,711
85,714
85,721
85,735
85,738
85,739
85,742
85,743
85,758
85,767
85,768
85,782
85,785
85,790
85,795
86,91
86,302
86,303
86,507
86,591
86,737
88,184
88,772
90,160
90,274
90,507
90,593
90,600
91,786
92,140
92,204
92,225
92,232
92,271
92,286
92,294
92,326
92,335
92,340
92,346
92,352
92,358
92,364
92,441
92,443
92,445
92,446
92,447
92,448
92,449
92,450
92,454
92,520
92,547
92,558
92,570
