Id,Label,group_code
2,SD,SD
6,EPP,EPP
7,EPP,EPP
8,EPP,EPP
10,EPP,EPP
12,EPP,EPP
13,EPP,EPP
15,RENEW,RENEW
17,EPP,EPP
20,ECR,ECR
28,EPP,EPP
29,ECR,ECR
31,EPP,EPP
35,ECR,ECR
37,EPP,EPP
38,ECR,ECR
43,EPP,EPP
46,EPP,EPP
49,EPP,EPP
53,EPP,EPP
54,EPP,EPP
56,EPP,EPP
57,EPP,EPP
59,EPP,EPP
60,EPP,EPP
61,EPP,EPP
62,ECR,ECR
67,ECR,ECR
68,ECR,ECR
69,ECR,ECR
70,EPP,EPP
71,EPP,EPP
72,EPP,EPP
76,ECR,ECR
82,EPP,EPP
85,ID,ID
86,EPP,EPP
88,SD,SD
90,EPP,EPP
91,EPP,EPP
92,ID,ID
95,EPP,EPP
98,RENEW,RENEW
99,EPP,EPP
103,ID,ID
104,EPP,EPP
110,ECR,ECR
114,RENEW,RENEW
116,ECR,ECR
121,GREEN_EFA,GREEN_EFA
122,GREEN_EFA,GREEN_EFA
123,EPP,EPP
126,EPP,EPP
127,EPP,EPP
128,EPP,EPP
129,EPP,EPP
133,EPP,EPP
134,EPP,EPP
136,ECR,ECR
137,ECR,ECR
138,EPP,EPP
139,EPP,EPP
140,ECR,ECR
141,EPP,EPP
149,SD,SD
153,EPP,EPP
159,EPP,EPP
160,EPP,EPP
164,EPP,EPP
166,EPP,EPP
175,ID,ID
177,EPP,EPP
178,EPP,EPP
179,EPP,EPP
180,ID,ID
182,EPP,EPP
183,ID,ID
184,SD,SD
186,RENEW,RENEW
187,GREEN_EFA,GREEN_EFA
188,EPP,EPP
195,SD,SD
199,RENEW,RENEW
204,ECR,ECR
206,SD,SD
214,RENEW,RENEW
215,RENEW,RENEW
216,EPP,EPP
218,EPP,EPP
220,EPP,EPP
225,ID,ID
228,ID,ID
229,ID,ID
231,ID,ID
232,ID,ID
234,GREEN_EFA,GREEN_EFA
235,ID,ID
240,EPP,EPP
241,EPP,EPP
242,EPP,EPP
243,EPP,EPP
246,SD,SD
250,EPP,EPP
257,GREEN_EFA,GREEN_EFA
259,EPP,EPP
260,SD,SD
268,ECR,ECR
270,ECR,ECR
271,ECR,ECR
272,ECR,ECR
273,ECR,ECR
274,EPP,EPP
275,EPP,EPP
276,GREEN_EFA,GREEN_EFA
285,GREEN_EFA,GREEN_EFA
286,ID,ID
291,SD,SD
293,ECR,ECR
294,ID,ID
295,EPP,EPP
297,EPP,EPP
302,EPP,EPP
303,EPP,EPP
315,EPP,EPP
316,ECR,ECR
318,SD,SD
322,EPP,EPP
326,ID,ID
332,GUE_NGL,GUE_NGL
334,ID,ID
335,ID,ID
339,GUE_NGL,GUE_NGL
340,ID,ID
342,ID,ID
344,EPP,EPP
346,ID,ID
351,EPP,EPP
352,ID,ID
354,EPP,EPP
358,ID,ID
359,RENEW,RENEW
360,EPP,EPP
361,EPP,EPP
364,ID,ID
366,GREEN_EFA,GREEN_EFA
367,EPP,EPP
368,EPP,EPP
369,SD,SD
370,SD,SD
371,EPP,EPP
372,SD,SD
374,SD,SD
376,ECR,ECR
379,EPP,EPP
381,EPP,EPP
382,EPP,EPP
383,EPP,EPP
384,EPP,EPP
385,EPP,EPP
386,EPP,EPP
387,EPP,EPP
388,EPP,EPP
389,GUE_NGL,GUE_NGL
390,GUE_NGL,GUE_NGL
391,EPP,EPP
395,EPP,EPP
396,EPP,EPP
397,GREEN_EFA,GREEN_EFA
398,EPP,EPP
399,EPP,EPP
400,EPP,EPP
402,EPP,EPP
403,RENEW,RENEW
404,GREEN_EFA,GREEN_EFA
405,RENEW,RENEW
410,RENEW,RENEW
415,RENEW,RENEW
416,RENEW,RENEW
417,RENEW,RENEW
436,ECR,ECR
438,ECR,ECR
441,ID,ID
442,EPP,EPP
443,ID,ID
444,ECR,ECR
445,ID,ID
446,ID,ID
447,ID,ID
448,ID,ID
449,ID,ID
450,ID,ID
453,EPP,EPP
454,ID,ID
460,RENEW,RENEW
462,ECR,ECR
464,GREEN_EFA,GREEN_EFA
467,GREEN_EFA,GREEN_EFA
469,RENEW,RENEW
470,EPP,EPP
473,EPP,EPP
475,EPP,EPP
476,ECR,ECR
477,EPP,EPP
478,ECR,ECR
479,ECR,ECR
480,ECR,ECR
485,RENEW,RENEW
486,GUE_NGL,GUE_NGL
487,RENEW,RENEW
488,GUE_NGL,GUE_NGL
489,ECR,ECR
490,GREEN_EFA,GREEN_EFA
491,ECR,ECR
493,EPP,EPP
494,EPP,EPP
495,EPP,EPP
496,ECR,ECR
497,ECR,ECR
498,GREEN_EFA,GREEN_EFA
500,ECR,ECR
503,ECR,ECR
504,ECR,ECR
505,GREEN_EFA,GREEN_EFA
507,EPP,EPP
508,GREEN_EFA,GREEN_EFA
511,ECR,ECR
512,ECR,ECR
513,RENEW,RENEW
514,RENEW,RENEW
515,ID,ID
517,RENEW,RENEW
518,ECR,ECR
520,ID,ID
521,ECR,ECR
525,ECR,ECR
528,RENEW,RENEW
530,ID,ID
532,ID,ID
534,ID,ID
537,ID,ID
543,SD,SD
544,RENEW,RENEW
545,ID,ID
547,ID,ID
548,ID,ID
555,EPP,EPP
556,ECR,ECR
557,ID,ID
558,ID,ID
559,ID,ID
562,ID,ID
563,ID,ID
564,ID,ID
565,SD,SD
569,EPP,EPP
570,ID,ID
573,ID,ID
574,ID,ID
575,ID,ID
576,ID,ID
582,EPP,EPP
590,EPP,EPP
591,EPP,EPP
592,EPP,EPP
593,EPP,EPP
596,EPP,EPP
599,ECR,ECR
600,EPP,EPP
608,EPP,EPP
611,EPP,EPP
612,EPP,EPP
615,SD,SD
616,EPP,EPP
617,ID,ID
618,GUE_NGL,GUE_NGL
620,ID,ID
621,GUE_NGL,GUE_NGL
623,ID,ID
624,ID,ID
625,ID,ID
626,EPP,EPP
641,ECR,ECR
643,EPP,EPP
656,GUE_NGL,GUE_NGL
657,SD,SD
660,SD,SD
663,EPP,EPP
669,EPP,EPP
674,GUE_NGL,GUE_NGL
686,ECR,ECR
691,ECR,ECR
692,ECR,ECR
693,EPP,EPP
694,EPP,EPP
696,RENEW,RENEW
697,RENEW,RENEW
702,ID,ID
703,ID,ID
704,ID,ID
705,ID,ID
706,ID,ID
711,ID,ID
712,EPP,EPP
713,EPP,EPP
714,ID,ID
721,ID,ID
732,GUE_NGL,GUE_NGL
735,ECR,ECR
737,ECR,ECR
738,ECR,ECR
739,ID,ID
741,GUE_NGL,GUE_NGL
742,ECR,ECR
743,ECR,ECR
745,EPP,EPP
746,EPP,EPP
750,EPP,EPP
751,EPP,EPP
752,SD,SD
753,EPP,EPP
758,ECR,ECR
767,ECR,ECR
768,ID,ID
771,ECR,ECR
772,SD,SD
774,EPP,EPP
776,EPP,EPP
782,ECR,ECR
784,EPP,EPP
785,ECR,ECR
786,EPP,EPP
790,ECR,ECR
795,ID,ID
797,EPP,EPP
802,SD,SD
803,RENEW,RENEW
805,RENEW,RENEW
808,SD,SD
809,ECR,ECR
810,ECR,ECR
811,EPP,EPP
813,SD,SD
815,RENEW,RENEW
816,SD,SD
817,SD,SD
