"from","to","weight"
"Charles GOERENS (LUX-RENEW)","Sophia IN 'T VELD (NLD-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Juan Fernando LÓPEZ AGUILAR (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Jana TOOM (EST-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Monica SEMEDO (LUX-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Ivars IJABS (LVA-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Claudia GAMON (AUT-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Vlad-Marius BOTOŞ (ROU-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Lina GÁLVEZ MUÑOZ (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Barry ANDREWS (IRL-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Emma WIESNER (SWE-RENEW)",1
"Constanze KREHL (DEU-SD)","Antonio TAJANI (ITA-EPP)",1
"Constanze KREHL (DEU-SD)","Raffaele FITTO (ITA-ECR)",1
"Constanze KREHL (DEU-SD)","Lefteris CHRISTOFOROU (CYP-EPP)",1
"Constanze KREHL (DEU-SD)","Corina CREȚU (ROU-SD)",1
"Constanze KREHL (DEU-SD)","Reinhard BÜTIKOFER (DEU-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Tanja FAJON (SVN-SD)",1
"Constanze KREHL (DEU-SD)","Eva MAYDELL (BGR-EPP)",1
"Constanze KREHL (DEU-SD)","Martina MICHELS (DEU-GUE_NGL)",1
"Constanze KREHL (DEU-SD)","Jana TOOM (EST-RENEW)",1
"Constanze KREHL (DEU-SD)","Cláudia MONTEIRO DE AGUIAR (PRT-EPP)",1
"Constanze KREHL (DEU-SD)","Eleonora EVI (ITA-GREEN_EFA)",1
"Constanze KREHL (DEU-SD)","Fabio Massimo CASTALDO (ITA-NI)",1
"Constanze KREHL (DEU-SD)","Simona BONAFÈ (ITA-SD)",1
"Constanze KREHL (DEU-SD)","Jytte GUTELAND (SWE-SD)",1
"Constanze KREHL (DEU-SD)","Martin BUSCHMANN (DEU-NI)",1
"Constanze KREHL (DEU-SD)","Nicola BEER (DEU-RENEW)",1
"Constanze KREHL (DEU-SD)","Delara BURKHARDT (DEU-SD)",1
